IdSensore,Week 1 Year 2013,Week 2 Year 2013,Week 3 Year 2013,Week 4 Year 2013,Week 5 Year 2013,Week 6 Year 2013,Week 7 Year 2013,Week 8 Year 2013,Week 9 Year 2013,Week 10 Year 2013,Week 11 Year 2013,Week 12 Year 2013,Week 13 Year 2013,Week 14 Year 2013,Week 15 Year 2013,Week 16 Year 2013,Week 17 Year 2013,Week 18 Year 2013,Week 19 Year 2013,Week 20 Year 2013,Week 21 Year 2013,Week 22 Year 2013,Week 23 Year 2013,Week 24 Year 2013,Week 25 Year 2013,Week 26 Year 2013,Week 27 Year 2013,Week 28 Year 2013,Week 29 Year 2013,Week 30 Year 2013,Week 31 Year 2013,Week 32 Year 2013,Week 33 Year 2013,Week 34 Year 2013,Week 35 Year 2013,Week 36 Year 2013,Week 37 Year 2013,Week 38 Year 2013,Week 39 Year 2013,Week 40 Year 2013,Week 41 Year 2013,Week 42 Year 2013,Week 43 Year 2013,Week 44 Year 2013,Week 45 Year 2013,Week 46 Year 2013,Week 47 Year 2013,Week 48 Year 2013,Week 49 Year 2013,Week 50 Year 2013,Week 51 Year 2013,Week 52 Year 2013,Week 53 Year 2013,Week 1 Year 2014,Week 2 Year 2014,Week 3 Year 2014,Week 4 Year 2014,Week 5 Year 2014,Week 6 Year 2014,Week 8 Year 2014,Week 9 Year 2014,Week 10 Year 2014,Week 11 Year 2014,Week 12 Year 2014,Week 13 Year 2014,Week 14 Year 2014,Week 15 Year 2014,Week 16 Year 2014,Week 17 Year 2014,Week 18 Year 2014,Week 19 Year 2014,Week 20 Year 2014,Week 21 Year 2014,Week 22 Year 2014,Week 23 Year 2014,Week 24 Year 2014,Week 25 Year 2014,Week 26 Year 2014,Week 27 Year 2014,Week 28 Year 2014,Week 29 Year 2014,Week 30 Year 2014,Week 31 Year 2014,Week 32 Year 2014,Week 33 Year 2014,Week 34 Year 2014,Week 35 Year 2014,Week 36 Year 2014,Week 37 Year 2014,Week 38 Year 2014,Week 39 Year 2014,Week 40 Year 2014,Week 41 Year 2014,Week 42 Year 2014,Week 43 Year 2014,Week 44 Year 2014,Week 45 Year 2014,Week 46 Year 2014,Week 47 Year 2014,Week 48 Year 2014,Week 49 Year 2014,Week 50 Year 2014,Week 51 Year 2014,Week 52 Year 2014,Week 53 Year 2014,Week 7 Year 2014,Week 1 Year 2015,Week 2 Year 2015,Week 3 Year 2015,Week 4 Year 2015,Week 5 Year 2015,Week 6 Year 2015,Week 7 Year 2015,Week 8 Year 2015,Week 9 Year 2015,Week 10 Year 2015,Week 11 Year 2015,Week 12 Year 2015,Week 13 Year 2015,Week 14 Year 2015,Week 15 Year 2015,Week 16 Year 2015,Week 17 Year 2015,Week 18 Year 2015,Week 19 Year 2015,Week 20 Year 2015,Week 21 Year 2015,Week 22 Year 2015,Week 23 Year 2015,Week 24 Year 2015,Week 25 Year 2015,Week 26 Year 2015,Week 27 Year 2015,Week 28 Year 2015,Week 29 Year 2015,Week 30 Year 2015,Week 31 Year 2015,Week 32 Year 2015,Week 33 Year 2015,Week 34 Year 2015,Week 35 Year 2015,Week 36 Year 2015,Week 37 Year 2015,Week 38 Year 2015,Week 39 Year 2015,Week 40 Year 2015,Week 41 Year 2015,Week 42 Year 2015,Week 43 Year 2015,Week 44 Year 2015,Week 45 Year 2015,Week 46 Year 2015,Week 47 Year 2015,Week 48 Year 2015,Week 49 Year 2015,Week 50 Year 2015,Week 51 Year 2015,Week 52 Year 2015,Week 53 Year 2015,Week 1 Year 2016,Week 2 Year 2016,Week 3 Year 2016,Week 4 Year 2016,Week 5 Year 2016,Week 6 Year 2016,Week 7 Year 2016,Week 8 Year 2016,Week 9 Year 2016,Week 10 Year 2016,Week 11 Year 2016,Week 12 Year 2016,Week 13 Year 2016,Week 14 Year 2016,Week 15 Year 2016,Week 16 Year 2016,Week 17 Year 2016,Week 18 Year 2016,Week 19 Year 2016,Week 20 Year 2016,Week 21 Year 2016,Week 22 Year 2016,Week 23 Year 2016,Week 24 Year 2016,Week 25 Year 2016,Week 26 Year 2016,Week 27 Year 2016,Week 28 Year 2016,Week 29 Year 2016,Week 30 Year 2016,Week 31 Year 2016,Week 32 Year 2016,Week 33 Year 2016,Week 34 Year 2016,Week 35 Year 2016,Week 36 Year 2016,Week 37 Year 2016,Week 38 Year 2016,Week 39 Year 2016,Week 40 Year 2016,Week 41 Year 2016,Week 42 Year 2016,Week 43 Year 2016,Week 44 Year 2016,Week 45 Year 2016,Week 46 Year 2016,Week 47 Year 2016,Week 48 Year 2016,Week 49 Year 2016,Week 50 Year 2016,Week 51 Year 2016,Week 52 Year 2016,Week 53 Year 2016,Week 1 Year 2017,Week 2 Year 2017,Week 3 Year 2017,Week 4 Year 2017,Week 5 Year 2017,Week 6 Year 2017,Week 7 Year 2017,Week 8 Year 2017,Week 9 Year 2017,Week 10 Year 2017,Week 11 Year 2017,Week 12 Year 2017,Week 13 Year 2017,Week 14 Year 2017,Week 15 Year 2017,Week 16 Year 2017,Week 17 Year 2017,Week 18 Year 2017,Week 19 Year 2017,Week 20 Year 2017,Week 21 Year 2017,Week 22 Year 2017,Week 23 Year 2017,Week 24 Year 2017,Week 25 Year 2017,Week 26 Year 2017,Week 27 Year 2017,Week 28 Year 2017,Week 29 Year 2017,Week 30 Year 2017,Week 31 Year 2017,Week 32 Year 2017,Week 33 Year 2017,Week 34 Year 2017,Week 35 Year 2017,Week 36 Year 2017,Week 37 Year 2017,Week 38 Year 2017,Week 39 Year 2017,Week 40 Year 2017,Week 41 Year 2017,Week 42 Year 2017,Week 43 Year 2017,Week 44 Year 2017,Week 45 Year 2017,Week 46 Year 2017,Week 47 Year 2017,Week 48 Year 2017,Week 49 Year 2017,Week 50 Year 2017,Week 51 Year 2017,Week 52 Year 2017,Week 53 Year 2017
5504.0,99.15,69.36,88.24,94.66,76.28,77.14,104.79,77.82,85.39,70.41,62.39,73.64,62.19,59.68,60.74,63.17,51.99,45.19,39.85,42.03,35.27,37.19,40.42,39.96,34.16,40.87,45.42,42.64,46.55,33.43,53.26,48.5,26.15,35.23,47.76,61.95,55.92,73.44,50.42,65.34,64.53,71.87,63.64,61.13,47.4,56.07,57.4,75.61,83.52,100.4,82.16,48.45,60.15,56.38,55.56,59.18,62.75,59.74,58.67,69.21,68.67,73.88,73.19,58.46,61.02,60.19,57.66,50.97,45.85,48.87,50.93,39.25,44.06,43.87,56.03,47.27,34.57,46.98,41.39,45.52,53.07,42.51,48.93,48.7,36.07,46.25,53.29,59.75,65.21,60.42,69.23,62.47,50.74,45.22,63.09,75.53,51.56,53.25,71.29,84.93,79.91,98.54,94.32,77.19,80.59,,90.53,97.58,88.33,90.78,99.41,99.19,103.53,98.08,96.56,94.79,99.32,96.09,68.38,81.48,78.18,74.7,73.13,61.69,62.89,56.09,55.37,49.87,61.44,53.22,55.52,57.83,51.08,55.0,43.77,43.16,56.51,46.14,36.21,42.43,53.49,72.42,90.15,79.23,94.04,85.34,83.26,88.87,97.29,88.42,98.41,81.12,75.82,96.56,78.02,85.77,87.25,67.59,73.32,58.47,70.5,79.91,93.4,79.77,79.19,70.34,85.3,79.23,69.4,78.45,73.81,71.96,71.74,53.72,73.61,71.94,76.38,86.24,68.22,53.27,72.07,57.72,50.13,50.4,44.89,45.16,43.2,47.54,43.53,40.87,42.18,31.55,38.64,38.4,44.36,55.27,56.22,77.96,70.81,80.74,74.26,77.21,77.16,76.22,79.6,78.49,64.93,76.02,76.05,74.94,83.1,72.43,67.44,61.28,93.11,88.94,75.6,66.53,69.26,85.94,99.98,90.66,100.34,102.44,85.09,63.7,52.12,43.97,53.28,56.15,50.32,54.52,57.61,37.12,42.02,39.55,31.18,60.17,50.2,50.8,54.55,49.44,51.55,44.53,36.02,42.06,51.02,48.45,48.47,53.04,63.27,51.81,74.42,74.35,77.88,85.29,74.71,108.46,94.66,80.74,95.72,72.11,86.61,73.12,76.12
5506.0,86.96,65.2,76.64,81.33,70.78,69.44,102.13,76.28,90.06,73.83,61.71,67.96,56.62,55.39,68.52,69.6,55.31,53.08,52.95,46.34,43.05,45.95,49.81,59.29,51.8,49.26,57.58,59.01,50.49,37.02,44.82,32.83,21.12,25.26,39.94,,58.16,75.27,54.77,60.0,64.53,78.72,68.19,61.48,67.24,78.12,71.53,103.95,109.31,112.57,95.83,54.54,86.35,73.95,73.76,74.89,77.71,66.4,68.05,71.61,63.32,72.89,76.81,38.27,58.32,53.65,33.63,41.64,39.26,38.63,42.02,33.33,38.72,36.38,52.94,45.32,35.67,31.64,37.64,37.2,44.66,34.51,34.99,29.37,20.1,28.45,37.6,48.35,41.74,45.03,62.24,51.16,45.83,51.03,50.49,63.43,47.71,51.38,70.33,42.82,40.11,59.09,80.54,65.99,61.32,78.23,77.71,86.48,75.0,80.68,74.24,77.92,82.86,77.95,75.8,70.32,76.99,68.64,51.08,48.25,67.41,70.48,,,88.79,44.26,66.26,59.41,75.34,68.61,57.27,64.05,61.41,56.36,56.98,47.97,52.91,56.04,42.11,46.14,67.73,66.07,65.35,68.54,65.98,71.5,69.68,72.73,87.08,88.13,99.3,79.13,69.35,99.38,72.42,81.86,91.42,67.92,66.16,62.19,74.52,86.01,104.93,75.99,75.3,67.28,68.4,57.68,58.49,51.72,49.38,36.77,49.55,47.23,46.56,43.42,43.79,43.18,35.69,53.93,58.17,48.74,46.5,54.92,46.46,45.46,40.54,47.68,44.71,38.36,35.33,28.41,31.84,45.43,52.7,63.81,48.85,65.94,51.62,50.89,50.92,49.08,52.64,54.59,53.0,51.37,54.6,62.74,55.11,53.86,55.38,51.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5507.0,93.04,80.9,64.8,68.0,58.59,77.16,103.05,72.5,89.91,69.77,59.61,62.93,55.52,53.39,63.84,59.24,51.12,47.47,48.07,42.26,41.44,,40.88,44.4,38.06,41.88,44.81,40.77,41.99,36.21,39.52,29.56,20.47,25.37,34.93,52.19,52.34,61.47,46.81,44.04,52.32,62.5,46.94,46.61,49.94,81.79,62.58,82.36,94.5,113.31,85.78,46.65,64.76,58.22,61.05,62.27,64.16,56.01,56.78,62.93,58.9,,97.43,64.08,74.79,68.71,56.69,60.68,53.36,46.18,51.88,49.5,45.49,41.96,46.64,45.55,36.96,38.77,38.88,38.22,38.57,35.5,38.1,30.11,24.51,32.86,39.5,47.4,40.89,47.09,82.64,59.76,46.78,63.74,64.79,82.93,54.71,62.23,83.97,55.02,52.72,78.9,76.32,61.63,56.75,65.93,73.67,83.19,66.85,78.61,77.23,78.32,78.9,76.02,73.72,73.37,66.6,66.41,58.01,50.51,56.34,,69.25,63.96,61.26,51.19,55.6,42.42,46.93,51.86,42.12,39.33,35.79,33.85,33.65,30.0,36.45,34.97,31.85,,,50.09,55.37,55.83,61.49,65.45,56.35,64.86,92.25,85.8,105.5,74.6,63.55,92.71,75.2,82.54,86.79,64.74,44.83,51.17,57.81,72.54,92.92,62.63,64.97,55.6,60.04,53.34,58.4,50.37,51.42,42.26,50.18,46.04,41.86,38.71,44.49,48.51,44.3,44.11,42.28,42.02,37.76,44.28,37.47,33.81,32.13,33.68,33.05,20.35,21.03,16.63,19.88,33.1,36.09,45.42,37.74,51.95,41.56,45.38,42.1,36.97,38.61,47.42,41.69,38.24,42.91,55.56,63.29,59.46,57.72,54.94,46.89,44.99,69.26,78.73,82.9,65.42,73.09,70.63,62.4,60.15,67.56,47.12,42.26,25.52,37.54,38.0,40.73,46.16,40.01,59.77,70.63,69.27,62.64,67.35,76.4,63.63,66.24,65.22,61.86,45.04,,,,,56.97,57.42,64.21,44.85,,,,,56.16,52.19,40.14,62.55,55.27,46.97,61.54,52.43,91.69,53.18,52.95
5508.0,69.17,53.5,60.77,67.32,63.61,57.76,76.15,75.34,81.12,78.42,60.14,60.4,55.13,54.17,57.01,52.76,49.86,41.42,34.19,41.3,33.06,34.97,29.55,23.12,22.28,30.22,24.2,19.43,22.54,,41.72,33.42,18.54,25.71,38.47,41.97,38.94,51.08,36.2,44.08,42.93,55.39,42.79,45.81,48.32,55.08,52.81,86.47,102.67,109.57,38.25,23.97,27.42,24.5,55.65,53.41,56.71,49.98,51.83,43.73,47.65,46.27,47.82,29.71,35.49,33.71,24.51,30.46,26.13,26.67,26.16,20.36,20.54,20.09,28.3,20.6,16.15,20.98,21.59,17.91,22.43,18.91,30.59,23.42,17.46,23.93,30.17,44.2,39.56,44.77,56.95,48.06,34.63,40.16,48.69,57.67,41.42,44.17,58.07,42.41,37.91,59.29,53.8,46.4,48.33,57.93,61.66,68.45,51.3,56.38,64.27,64.29,62.93,52.74,53.99,69.36,63.71,52.93,38.04,30.34,47.97,35.53,30.57,31.4,41.92,24.47,25.18,22.16,30.02,26.7,19.12,26.56,20.67,22.39,18.88,13.59,17.87,,19.6,24.54,39.31,41.48,40.27,37.71,39.9,34.52,37.06,40.55,54.04,47.68,60.9,49.66,42.79,62.87,47.53,58.51,61.16,45.24,38.76,34.25,46.84,58.16,91.7,59.1,67.85,52.92,61.28,54.31,53.3,49.1,44.59,36.04,38.18,25.83,35.54,28.56,32.84,40.93,32.11,29.19,29.77,25.96,24.97,26.83,31.39,28.12,25.55,29.64,30.95,28.44,28.31,14.92,23.52,33.08,34.14,40.62,39.01,46.32,39.47,42.04,35.59,33.34,38.11,45.74,48.6,39.1,42.59,52.3,56.27,53.82,56.32,50.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511.0,56.34,42.19,58.71,57.54,56.72,55.67,78.63,46.29,41.31,27.79,16.02,15.06,,,31.62,15.34,25.62,30.36,,,,23.35,22.88,23.07,18.72,21.29,21.6,19.82,22.46,25.27,23.11,20.91,12.23,13.28,19.6,24.83,23.58,32.97,27.85,26.68,29.8,36.64,27.69,30.62,35.4,41.35,38.64,60.73,62.63,74.41,57.61,30.1,43.51,41.76,43.53,44.8,45.95,42.2,42.1,41.37,37.84,42.3,42.27,25.79,,24.1,20.17,26.16,24.06,20.77,24.28,20.37,19.8,20.17,23.35,19.94,20.75,15.59,20.43,16.53,20.79,15.46,18.03,13.26,10.47,14.68,18.33,25.98,19.59,24.83,38.34,29.95,25.1,36.28,32.0,47.42,32.44,17.54,18.39,10.35,10.76,19.95,15.05,14.22,15.08,47.45,19.27,20.59,14.4,,,114.7,75.63,49.12,45.73,42.88,36.27,33.7,22.88,23.41,30.98,29.44,20.24,18.6,22.0,16.28,16.37,15.73,20.22,17.36,14.27,16.06,19.53,16.14,16.15,14.03,13.69,15.89,11.3,11.84,18.34,18.03,20.02,19.62,20.81,24.19,20.89,24.11,31.76,30.63,43.86,33.31,26.11,42.26,35.1,35.19,35.75,28.53,24.9,26.33,32.67,40.55,52.32,30.31,33.57,31.28,33.21,25.25,31.8,26.15,24.33,22.56,16.89,15.59,,,,,,,,20.25,15.21,21.04,17.23,16.73,14.96,19.14,18.69,15.55,12.92,11.2,12.65,20.59,21.81,23.6,22.87,31.22,29.98,37.16,31.28,30.72,35.52,39.85,43.13,27.42,36.1,42.95,48.69,37.65,41.31,42.88,35.76,37.1,45.29,48.04,35.13,28.56,33.88,25.68,26.28,25.68,28.01,20.41,25.02,21.63,18.69,15.43,15.07,18.89,15.83,17.24,17.88,14.93,18.01,17.08,17.39,12.55,16.79,14.24,16.38,15.86,17.95,11.1,9.33,13.02,16.43,18.18,18.86,27.04,22.1,23.08,33.15,34.13,31.21,28.69,20.09,33.1,30.29,31.41,40.37,33.1,44.94,,
5513.0,93.89,81.61,79.07,76.88,92.96,79.88,106.46,74.77,62.5,64.22,45.86,47.99,41.29,45.1,49.21,65.19,42.59,40.24,33.59,29.97,25.75,31.04,38.04,39.2,46.28,33.38,20.93,19.81,19.34,22.66,20.53,18.12,11.62,11.8,,15.46,19.66,26.7,23.21,21.72,24.45,30.86,22.45,13.58,25.0,28.56,24.44,,,74.2,53.38,26.97,30.95,34.09,41.68,39.41,40.71,37.57,33.33,36.5,31.2,39.07,54.12,33.64,37.9,38.1,26.23,28.14,29.55,21.22,22.86,20.07,26.99,31.69,29.26,,,16.35,19.55,16.43,20.02,14.71,15.41,12.37,,,,,,,,23.29,25.36,39.6,26.56,40.13,27.6,36.75,57.83,36.0,30.54,63.34,53.69,47.97,46.45,38.32,55.22,61.56,47.98,65.53,65.6,72.91,58.13,38.17,37.59,38.32,30.94,29.2,23.97,35.91,34.95,33.99,23.64,22.28,9.13,25.37,28.28,33.76,,,,,,,,,,,,,26.68,26.23,28.0,27.87,31.41,35.28,30.32,35.52,52.19,53.03,71.21,55.42,43.06,73.51,66.15,71.27,71.58,,,60.17,52.34,60.19,81.91,52.17,63.38,62.38,62.35,45.97,39.15,31.08,33.22,35.27,47.82,36.92,34.75,30.77,36.95,34.08,28.79,28.06,23.49,21.28,19.51,23.57,22.45,21.55,20.13,23.36,21.76,20.58,20.88,18.87,19.84,26.2,26.0,25.8,30.06,35.38,32.43,34.64,35.35,35.23,36.77,35.73,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514.0,56.48,49.85,,72.81,63.41,74.66,104.75,75.0,81.26,69.14,72.46,74.54,69.43,73.74,91.81,94.9,80.39,66.96,67.25,71.87,67.2,64.35,80.86,58.86,40.62,58.73,45.6,39.05,34.15,26.02,35.17,32.99,31.66,37.45,41.02,40.89,39.52,52.36,32.91,44.75,38.57,42.16,30.2,36.44,38.61,47.25,40.04,54.61,51.07,50.4,46.61,34.46,48.57,37.15,42.67,41.37,54.78,49.17,51.83,51.87,53.27,61.15,59.09,39.84,48.9,47.86,43.43,58.03,58.26,64.83,72.15,24.59,26.67,23.1,38.64,29.47,18.11,24.46,23.71,21.16,26.94,21.84,19.51,19.07,12.99,21.56,24.87,25.83,28.32,29.33,33.0,31.48,21.68,30.41,31.02,41.65,25.9,24.1,41.0,29.03,26.68,41.81,34.83,34.04,36.96,56.07,42.02,49.93,47.8,49.88,56.99,60.05,61.21,49.11,48.46,50.73,47.3,43.86,32.13,29.21,34.85,34.58,24.47,30.01,34.35,22.15,24.27,20.74,28.85,,23.36,32.46,31.12,18.92,20.52,12.61,20.35,20.42,13.31,18.04,24.66,27.54,32.76,35.7,38.15,38.69,44.96,46.2,57.32,59.06,71.56,50.7,49.7,65.32,44.62,41.31,63.6,53.03,57.76,54.38,75.89,92.38,100.23,66.48,74.57,57.44,66.55,64.23,62.78,64.38,54.97,37.61,36.79,29.73,36.98,25.76,35.66,39.19,31.99,30.66,31.98,25.25,24.22,27.44,23.39,21.76,17.92,24.27,,32.89,34.35,21.98,27.69,40.06,44.72,51.36,42.99,69.49,53.46,57.83,44.54,40.49,39.42,46.86,55.19,52.79,47.22,61.46,53.01,53.93,74.26,75.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516.0,64.0,61.8,62.1,65.93,61.55,53.02,72.0,46.72,52.83,40.9,34.06,41.6,36.19,35.28,43.63,26.6,22.26,20.16,20.35,17.35,15.86,20.43,19.51,19.54,16.97,18.64,19.81,20.38,18.03,22.27,22.67,17.28,14.0,12.07,17.82,22.1,21.92,28.85,26.24,27.95,30.69,34.98,30.9,30.29,32.09,36.75,35.43,45.82,55.0,73.65,56.0,26.33,32.92,36.94,48.89,45.45,43.71,46.98,38.14,42.96,35.95,39.43,43.46,31.04,28.12,30.17,23.01,25.82,22.54,17.27,20.83,17.85,18.22,16.83,16.91,,,,,,,,,,,,,,,,,,,,,,54.36,39.77,33.77,23.95,23.09,45.48,35.64,,,43.98,,76.62,64.52,73.8,65.43,65.15,48.98,46.93,36.84,35.16,22.69,24.32,21.95,18.73,29.22,33.12,23.13,18.82,25.61,18.92,21.67,19.71,22.05,19.59,,,,,,,,,,12.76,13.33,10.96,11.37,9.02,,,,,,,,,,,,,70.32,58.13,45.78,49.44,52.51,61.3,89.21,65.66,57.86,56.44,59.48,42.21,57.4,44.68,42.89,37.42,39.05,29.96,28.86,23.99,27.35,30.34,24.81,29.04,25.3,24.32,21.05,24.73,22.76,21.27,20.39,25.45,25.41,,,,,,,,40.24,39.5,31.98,34.6,41.48,39.46,50.57,50.1,54.47,55.17,46.17,58.66,76.03,66.61,51.81,54.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5517.0,87.36,60.31,70.27,74.8,65.16,55.21,96.02,66.58,83.77,59.07,47.41,57.02,55.05,52.42,59.57,54.91,45.91,40.68,35.3,33.52,30.21,30.26,31.14,32.68,26.16,29.99,36.17,32.26,33.28,28.65,35.47,28.71,17.89,21.53,33.35,40.92,34.66,46.15,31.55,39.35,41.63,52.14,43.29,42.34,44.39,55.54,49.16,82.03,90.73,108.13,83.17,42.82,62.48,57.58,65.36,74.01,74.64,67.45,65.15,58.11,58.51,69.87,69.9,42.69,60.68,29.58,34.58,40.83,36.85,33.14,34.67,23.05,27.76,26.69,35.08,26.68,22.68,26.43,25.67,25.21,29.37,24.27,25.85,19.24,14.97,20.85,25.54,38.43,33.98,37.14,52.24,38.1,45.53,52.14,51.54,68.36,51.27,51.19,77.17,49.28,45.76,72.42,71.65,49.28,56.16,72.86,65.81,74.78,60.82,67.24,70.01,72.44,74.88,63.48,63.47,61.04,41.35,,21.94,37.64,58.76,44.87,34.73,35.55,43.94,27.52,32.08,28.49,32.93,29.15,21.51,23.11,21.32,14.85,14.06,,,,,,50.79,45.84,39.53,41.22,47.69,48.71,47.25,62.59,77.23,72.16,82.28,72.36,71.26,103.76,80.64,88.74,107.8,,,,62.46,,67.09,65.78,69.93,58.71,63.97,54.62,56.99,56.76,52.37,45.36,45.72,33.11,37.48,32.03,35.68,44.93,35.35,32.96,35.14,30.61,28.3,34.22,28.71,29.54,27.07,32.48,30.36,27.09,24.23,18.55,24.18,33.66,37.68,43.63,46.83,67.25,51.12,50.76,48.08,47.08,51.68,60.16,62.56,54.97,56.34,72.12,75.74,70.34,68.65,69.24,58.98,62.78,92.22,98.54,86.99,65.46,64.64,66.36,63.43,50.61,63.23,44.03,53.97,44.4,36.06,26.29,31.88,36.1,28.68,28.9,31.61,21.52,26.32,28.34,23.9,21.57,27.18,22.07,27.78,24.17,30.13,17.98,17.72,17.87,29.18,33.51,33.54,37.2,45.52,41.56,65.47,66.67,57.93,61.45,48.81,68.93,66.06,54.54,77.56,61.39,84.71,49.14,53.95
5518.0,93.19,64.06,78.25,83.66,73.58,67.17,109.05,75.61,96.19,70.27,58.69,72.57,55.39,53.13,64.87,57.55,48.94,44.04,38.71,34.21,35.91,34.91,38.38,40.91,37.48,35.72,42.92,41.45,40.5,40.65,39.32,27.99,16.5,23.45,35.26,44.23,38.19,49.76,34.59,37.55,41.89,53.8,48.61,50.5,56.08,66.62,57.26,96.33,108.24,127.11,99.61,49.21,72.24,68.33,69.26,70.47,76.8,66.82,65.1,70.62,66.8,77.65,79.38,47.88,63.38,59.65,40.84,47.58,46.58,41.1,43.35,34.21,40.83,37.53,49.13,48.07,40.39,39.15,39.46,37.56,44.35,37.1,31.1,29.63,19.59,28.42,37.94,50.91,41.7,43.46,64.1,53.05,44.49,59.73,56.69,76.22,50.45,53.33,85.95,50.14,49.54,80.67,76.66,49.83,45.84,67.44,,,,79.74,77.43,84.57,81.03,71.47,74.13,72.17,64.14,62.95,53.88,,70.95,53.21,38.28,40.72,48.9,33.74,37.06,33.42,43.14,41.37,32.66,36.38,37.83,36.39,38.44,29.75,34.07,36.43,26.29,28.67,48.67,44.73,44.13,44.47,44.08,45.71,49.7,57.67,72.41,70.2,89.92,68.07,60.13,91.36,65.96,76.91,89.69,57.01,51.83,50.79,62.93,74.36,100.23,66.0,67.66,58.45,64.21,53.59,59.57,55.58,52.94,44.24,44.44,38.92,38.25,30.27,37.14,42.45,37.89,38.86,38.55,33.76,31.2,38.9,33.29,33.96,31.43,36.45,26.76,11.33,6.09,,28.84,34.24,39.53,46.8,36.68,53.14,40.12,43.39,41.09,38.69,44.28,69.26,63.52,73.17,62.19,62.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
