age_group,Comune,Sesso,Popolazione,Year
Young,Abbiategrasso,Femmine,4310,2011
Young,Abbiategrasso,Maschi,4540,2011
Young,Albairate,Femmine,658,2011
Young,Albairate,Maschi,739,2011
Young,Arconate,Femmine,943,2011
Young,Arconate,Maschi,995,2011
Young,Arese,Femmine,2586,2011
Young,Arese,Maschi,2813,2011
Young,Arluno,Femmine,1634,2011
Young,Arluno,Maschi,1681,2011
Young,Assago,Femmine,1217,2011
Young,Assago,Maschi,1326,2011
Young,Baranzate,Femmine,1662,2011
Young,Baranzate,Maschi,1775,2011
Young,Bareggio,Femmine,2413,2011
Young,Bareggio,Maschi,2523,2011
Young,Basiano,Femmine,532,2011
Young,Basiano,Maschi,558,2011
Young,Basiglio,Femmine,1191,2011
Young,Basiglio,Maschi,1389,2011
Young,Bellinzago Lombardo,Femmine,556,2011
Young,Bellinzago Lombardo,Maschi,559,2011
Young,Bernate Ticino,Femmine,423,2011
Young,Bernate Ticino,Maschi,427,2011
Young,Besate,Femmine,279,2011
Young,Besate,Maschi,303,2011
Young,Binasco,Femmine,963,2011
Young,Binasco,Maschi,1019,2011
Young,Boffalora sopra Ticino,Femmine,579,2011
Young,Boffalora sopra Ticino,Maschi,623,2011
Young,Bollate,Femmine,4954,2011
Young,Bollate,Maschi,5090,2011
Young,Bresso,Femmine,3182,2011
Young,Bresso,Maschi,3473,2011
Young,Bubbiano,Femmine,334,2011
Young,Bubbiano,Maschi,354,2011
Young,Buccinasco,Femmine,4136,2011
Young,Buccinasco,Maschi,4237,2011
Young,Buscate,Femmine,692,2011
Young,Buscate,Maschi,677,2011
Young,Bussero,Femmine,1234,2011
Young,Bussero,Maschi,1307,2011
Young,Busto Garolfo,Femmine,1820,2011
Young,Busto Garolfo,Maschi,2016,2011
Young,Calvignasco,Femmine,181,2011
Young,Calvignasco,Maschi,219,2011
Young,Cambiago,Femmine,950,2011
Young,Cambiago,Maschi,1016,2011
Young,Canegrate,Femmine,1629,2011
Young,Canegrate,Maschi,1733,2011
Young,Carpiano,Femmine,623,2011
Young,Carpiano,Maschi,619,2011
Young,Carugate,Femmine,2089,2011
Young,Carugate,Maschi,2312,2011
Young,Casarile,Femmine,623,2011
Young,Casarile,Maschi,633,2011
Young,Casorezzo,Femmine,763,2011
Young,Casorezzo,Maschi,740,2011
Young,Cassano d'Adda,Femmine,2682,2011
Young,Cassano d'Adda,Maschi,2842,2011
Young,Cassina de' Pecchi,Femmine,1833,2011
Young,Cassina de' Pecchi,Maschi,1876,2011
Young,Cassinetta di Lugagnano,Femmine,265,2011
Young,Cassinetta di Lugagnano,Maschi,294,2011
Young,Castano Primo,Femmine,1518,2011
Young,Castano Primo,Maschi,1587,2011
Young,Cernusco sul Naviglio,Femmine,4157,2011
Young,Cernusco sul Naviglio,Maschi,4270,2011
Young,Cerro Maggiore,Femmine,1984,2011
Young,Cerro Maggiore,Maschi,2140,2011
Young,Cerro al Lambro,Femmine,668,2011
Young,Cerro al Lambro,Maschi,774,2011
Young,Cesano Boscone,Femmine,3217,2011
Young,Cesano Boscone,Maschi,3443,2011
Young,Cesate,Femmine,2049,2011
Young,Cesate,Maschi,2166,2011
Young,Cinisello Balsamo,Femmine,9795,2011
Young,Cinisello Balsamo,Maschi,10310,2011
Young,Cisliano,Femmine,570,2011
Young,Cisliano,Maschi,597,2011
Young,Cologno Monzese,Femmine,6619,2011
Young,Cologno Monzese,Maschi,6867,2011
Young,Colturano,Femmine,297,2011
Young,Colturano,Maschi,319,2011
Young,Corbetta,Femmine,2517,2011
Young,Corbetta,Maschi,2561,2011
Young,Cormano,Femmine,2866,2011
Young,Cormano,Maschi,2806,2011
Young,Cornaredo,Femmine,2871,2011
Young,Cornaredo,Maschi,2940,2011
Young,Corsico,Femmine,4285,2011
Young,Corsico,Maschi,4414,2011
Young,Cuggiono,Femmine,1140,2011
Young,Cuggiono,Maschi,1185,2011
Young,Cusago,Femmine,540,2011
Young,Cusago,Maschi,542,2011
Young,Cusano Milanino,Femmine,2377,2011
Young,Cusano Milanino,Maschi,2477,2011
Young,Dairago,Femmine,859,2011
Young,Dairago,Maschi,880,2011
Young,Dresano,Femmine,419,2011
Young,Dresano,Maschi,434,2011
Young,Gaggiano,Femmine,1208,2011
Young,Gaggiano,Maschi,1244,2011
Young,Garbagnate Milanese,Femmine,3757,2011
Young,Garbagnate Milanese,Maschi,4021,2011
Young,Gessate,Femmine,1321,2011
Young,Gessate,Maschi,1310,2011
Young,Gorgonzola,Femmine,2774,2011
Young,Gorgonzola,Maschi,2822,2011
Young,Grezzago,Femmine,430,2011
Young,Grezzago,Maschi,470,2011
Young,Gudo Visconti,Femmine,274,2011
Young,Gudo Visconti,Maschi,280,2011
Young,Inveruno,Femmine,1129,2011
Young,Inveruno,Maschi,1211,2011
Young,Inzago,Femmine,1387,2011
Young,Inzago,Maschi,1539,2011
Young,Lacchiarella,Femmine,1175,2011
Young,Lacchiarella,Maschi,1227,2011
Young,Lainate,Femmine,3449,2011
Young,Lainate,Maschi,3782,2011
Young,Legnano,Femmine,7899,2011
Young,Legnano,Maschi,8218,2011
Young,Liscate,Femmine,631,2011
Young,Liscate,Maschi,676,2011
Young,Locate di Triulzi,Femmine,1410,2011
Young,Locate di Triulzi,Maschi,1444,2011
Young,Magenta,Femmine,3052,2011
Young,Magenta,Maschi,3241,2011
Young,Magnago,Femmine,1255,2011
Young,Magnago,Maschi,1397,2011
Young,Marcallo con Casone,Femmine,804,2011
Young,Marcallo con Casone,Maschi,882,2011
Young,Masate,Femmine,494,2011
Young,Masate,Maschi,479,2011
Young,Mediglia,Femmine,1819,2011
Young,Mediglia,Maschi,1978,2011
Young,Melegnano,Femmine,2252,2011
Young,Melegnano,Maschi,2250,2011
Young,Melzo,Femmine,2481,2011
Young,Melzo,Maschi,2461,2011
Young,Mesero,Femmine,510,2011
Young,Mesero,Maschi,559,2011
Young,Milano,Femmine,155562,2011
Young,Milano,Maschi,164696,2011
Young,Morimondo,Femmine,161,2011
Young,Morimondo,Maschi,184,2011
Young,Motta Visconti,Femmine,1086,2011
Young,Motta Visconti,Maschi,1124,2011
Young,Nerviano,Femmine,2303,2011
Young,Nerviano,Maschi,2554,2011
Young,Nosate,Femmine,81,2011
Young,Nosate,Maschi,91,2011
Young,Novate Milanese,Femmine,2641,2011
Young,Novate Milanese,Maschi,2730,2011
Young,Noviglio,Femmine,691,2011
Young,Noviglio,Maschi,736,2011
Young,Opera,Femmine,1796,2011
Young,Opera,Maschi,1822,2011
Young,Ossona,Femmine,553,2011
Young,Ossona,Maschi,663,2011
