,I1,I2,I3,I4,Year,Comune,IMED,IFQ,ITQ,PI1,PI2,PI3,PI4,TI1,TI2,TI3,TI4,MI1,MI2,MI3,MI4
0,5185,11223,5613,519,2011,Abbiategrasso,27265.68,10767.19,70194.01,0.2300354924578527,0.4979148181011535,0.2490239574090506,0.023025732031943212,0.05148404763889746,0.4071084359439653,0.4178074341327164,0.12360008228442085,4980.71,18195.69,37337.78,119458.97
1,5185,11292,5685,534,2012  ,Abbiategrasso,27402.47,10764.65,70437.78,0.2284543531899894,0.4975326048642933,0.25048466690165666,0.023528375044060627,0.051465630654105976,0.4015794478924885,0.41857388455699396,0.12838103689641153,5064.92,18146.99,37570.38,122677.13
2,5069,10996,6057,556,2013  ,Abbiategrasso,27371.13,10678.25,70414.63,0.22352059264485405,0.48487520945409646,0.26708704471293765,0.024517153188111828,0.04673968360633023,0.3887665164157189,0.4345413218066873,0.12995247817126357,4788.34,18360.13,37255.9,121375.59
3,4929,10790,6206,563,2014  ,Abbiategrasso,27356.13,10701.78,70292.29,0.21918356456776947,0.47981145499822125,0.2759694059053718,0.025035574528637496,0.04521560257384044,0.37955278115195695,0.44322583750292077,0.13200577877128178,4796.97,18394.49,37346.54,122608.8
4,4924,10609,6525,562,2015  ,Abbiategrasso,27413.52,10693.26,70398.41,0.21768346595932803,0.46900972590627765,0.28846153846153844,0.02484526967285588,0.04418943812378383,0.3672655266013355,0.458792986454407,0.12975204882047367,4780.21,18439.62,37452.65,122977.09
5,4794,10665,6607,573,2016  ,Abbiategrasso,27491.43,10665.24,70533.4,0.21175846989708025,0.47108971244312914,0.2918415124342948,0.025310305225495825,0.04324221078475598,0.3663034285333649,0.45802368729015575,0.13243067339172337,4857.68,18496.91,37333.84,124466.66
6,4907,10620,6702,584,2017  ,Abbiategrasso,27570.02,10610.18,70842.9,0.21509665541577172,0.46552404330863983,0.2937798623591812,0.025599438916407313,0.03166347440650659,0.36614945508532404,0.46536244164782464,0.13682462886034474,3475.09,18567.65,37394.69,126175.35
7,4734,10561,6952,638,2018  ,Abbiategrasso,27651.1,10602.42,70710.42,0.20686038890102687,0.4614813196416867,0.3037797684072537,0.027878523050032772,0.04067240370510799,0.34931292118807505,0.46357387708437975,0.14644079802243717,4826.19,18579.84,37457.75,128935.91
8,4711,10375,7148,628,2019  ,Abbiategrasso,27652.67,10567.35,70843.99,0.20606246172688303,0.4538098154142245,0.3126585600559881,0.027469162802904384,0.03963553110206542,0.3418589857189594,0.47640663448484966,0.1420988486941255,4746.74,18590.14,37602.53,127659.96
0,707,1621,852,64,2011,Albairate,27525.32,10649.03,68662.36,0.21794081381011096,0.49969173859432797,0.2626387176325524,0.01972872996300863,0.04797196701489488,0.4092802008983149,0.44245881885992383,0.10028901322686638,4861.94,18091.69,37211.29,112283.2
