area_associata,Year,frequency_CO,exposure_CO,intensity_CO
ABBIATEGRASSO,2013,0,0.0,0.0
ALBAIRATE,2013,0,0.0,0.0
ARCONATE,2013,0,0.0,0.0
ARESE,2013,0,0.0,0.0
ARLUNO,2013,0,0.0,0.0
ASSAGO,2013,0,0.0,0.0
BARANZATE,2013,0,0.0,0.0
BAREGGIO,2013,0,0.0,0.0
BASIANO,2013,0,0.0,0.0
BASIGLIO,2013,0,0.0,0.0
BELLINZAGO LOMBARDO,2013,0,0.0,0.0
BERNATE TICINO,2013,0,0.0,0.0
BESATE,2013,0,0.0,0.0
BINASCO,2013,0,0.0,0.0
BOFFALORA SOPRA TICINO,2013,0,0.0,0.0
BOLLATE,2013,0,0.0,0.0
BRESSO,2013,0,0.0,0.0
BUBBIANO,2013,0,0.0,0.0
BUCCINASCO,2013,0,0.0,0.0
BUSCATE,2013,0,0.0,0.0
BUSSERO,2013,0,0.0,0.0
BUSTO GAROLFO,2013,0,0.0,0.0
CALVIGNASCO,2013,0,0.0,0.0
CAMBIAGO,2013,0,0.0,0.0
CANEGRATE,2013,0,0.0,0.0
CARPIANO,2013,0,0.0,0.0
CARUGATE,2013,0,0.0,0.0
CASARILE,2013,0,0.0,0.0
CASOREZZO,2013,0,0.0,0.0
CASSANO D`ADDA,2013,0,0.0,0.0
CASSINA DE PECCHI,2013,0,0.0,0.0
CASSINETTA DI LUGAGNANO,2013,0,0.0,0.0
CASTANO PRIMO,2013,0,0.0,0.0
CERNUSCO SUL NAVIGLIO,2013,0,0.0,0.0
CERRO AL LAMBRO,2013,0,0.0,0.0
CERRO MAGGIORE,2013,0,0.0,0.0
CESANO BOSCONE,2013,0,0.0,0.0
CESATE,2013,0,0.0,0.0
CINISELLO BALSAMO,2013,0,0.0,0.0
CISLIANO,2013,0,0.0,0.0
COLOGNO MONZESE,2013,0,0.0,0.0
COLTURANO,2013,0,0.0,0.0
CORBETTA,2013,0,0.0,0.0
CORMANO,2013,0,0.0,0.0
CORNAREDO,2013,0,0.0,0.0
CORSICO,2013,0,0.0,0.0
CUGGIONO,2013,0,0.0,0.0
CUSAGO,2013,0,0.0,0.0
CUSANO MILANINO,2013,0,0.0,0.0
DAIRAGO,2013,0,0.0,0.0
DRESANO,2013,0,0.0,0.0
GAGGIANO,2013,0,0.0,0.0
GARBAGNATE MILANESE,2013,0,0.0,0.0
GESSATE,2013,0,0.0,0.0
GORGONZOLA,2013,0,0.0,0.0
GREZZAGO,2013,0,0.0,0.0
GUDO VISCONTI,2013,0,0.0,0.0
INVERUNO,2013,0,0.0,0.0
INZAGO,2013,0,0.0,0.0
LACCHIARELLA,2013,0,0.0,0.0
LAINATE,2013,0,0.0,0.0
LEGNANO,2013,0,0.0,0.0
LISCATE,2013,0,0.0,0.0
LOCATE DI TRIULZI,2013,0,0.0,0.0
MAGENTA,2013,0,0.0,0.0
MAGNAGO,2013,0,0.0,0.0
MARCALLO CON CASONE,2013,0,0.0,0.0
MASATE,2013,0,0.0,0.0
MEDIGLIA,2013,0,0.0,0.0
MELEGNANO,2013,0,0.0,0.0
MELZO,2013,0,0.0,0.0
MESERO,2013,0,0.0,0.0
MORIMONDO,2013,0,0.0,0.0
MOTTA VISCONTI,2013,0,0.0,0.0
MUNICIPIO_1,2013,0,0.0,0.0
MUNICIPIO_2,2013,0,0.0,0.0
MUNICIPIO_3,2013,0,0.0,0.0
MUNICIPIO_4,2013,0,0.0,0.0
MUNICIPIO_5,2013,0,0.0,0.0
MUNICIPIO_6,2013,0,0.0,0.0
MUNICIPIO_7,2013,0,0.0,0.0
MUNICIPIO_8,2013,0,0.0,0.0
MUNICIPIO_9,2013,0,0.0,0.0
NERVIANO,2013,0,0.0,0.0
NOSATE,2013,0,0.0,0.0
NOVATE MILANESE,2013,0,0.0,0.0
NOVIGLIO,2013,0,0.0,0.0
OPERA,2013,0,0.0,0.0
OSSONA,2013,0,0.0,0.0
OZZERO,2013,0,0.0,0.0
PADERNO DUGNANO,2013,0,0.0,0.0
PANTIGLIATE,2013,0,0.0,0.0
PARABIAGO,2013,0,0.0,0.0
PAULLO,2013,0,0.0,0.0
PERO,2013,0,0.0,0.0
PESCHIERA BORROMEO,2013,0,0.0,0.0
PESSANO CON BORNAGO,2013,0,0.0,0.0
PIEVE EMANUELE,2013,0,0.0,0.0
PIOLTELLO,2013,0,0.0,0.0
