area_associata,Year,frequency_NO2,exposure_NO2,intensity_NO2
ABBIATEGRASSO,2013,13,0.158,2.054
ALBAIRATE,2013,3,0.222,0.665
ARCONATE,2013,0,0.0,0.0
ARESE,2013,8,0.186,1.487
ARLUNO,2013,6,0.187,1.12
ASSAGO,2013,11,0.292,3.217
BARANZATE,2013,9,0.332,2.992
BAREGGIO,2013,8,0.216,1.726
BASIANO,2013,4,0.216,0.865
BASIGLIO,2013,5,0.229,1.143
BELLINZAGO LOMBARDO,2013,4,0.195,0.781
BERNATE TICINO,2013,0,0.0,0.0
BESATE,2013,1,0.087,0.087
BINASCO,2013,2,0.159,0.318
BOFFALORA SOPRA TICINO,2013,3,0.084,0.253
BOLLATE,2013,8,0.288,2.304
BRESSO,2013,10,0.328,3.275
BUBBIANO,2013,2,0.159,0.317
BUCCINASCO,2013,15,0.319,4.782
BUSCATE,2013,0,0.0,0.0
BUSSERO,2013,6,0.205,1.232
BUSTO GAROLFO,2013,0,0.0,0.0
CALVIGNASCO,2013,2,0.162,0.324
CAMBIAGO,2013,4,0.255,1.021
CANEGRATE,2013,5,0.229,1.146
CARPIANO,2013,4,0.197,0.787
CARUGATE,2013,7,0.222,1.552
CASARILE,2013,2,0.138,0.275
CASOREZZO,2013,3,0.094,0.282
CASSANO D`ADDA,2013,2,0.169,0.339
CASSINA DE PECCHI,2013,4,0.214,0.856
CASSINETTA DI LUGAGNANO,2013,3,0.204,0.611
CASTANO PRIMO,2013,0,0.0,0.0
CERNUSCO SUL NAVIGLIO,2013,6,0.2,1.199
CERRO AL LAMBRO,2013,1,0.061,0.061
CERRO MAGGIORE,2013,5,0.304,1.522
CESANO BOSCONE,2013,17,0.384,6.53
CESATE,2013,6,0.194,1.162
CINISELLO BALSAMO,2013,17,0.418,7.114
CISLIANO,2013,8,0.187,1.495
COLOGNO MONZESE,2013,8,0.295,2.361
COLTURANO,2013,4,0.146,0.585
CORBETTA,2013,5,0.22,1.1
CORMANO,2013,9,0.373,3.359
CORNAREDO,2013,8,0.238,1.908
CORSICO,2013,17,0.413,7.014
CUGGIONO,2013,0,0.0,0.0
CUSAGO,2013,9,0.22,1.976
CUSANO MILANINO,2013,9,0.368,3.312
DAIRAGO,2013,0,0.0,0.0
DRESANO,2013,2,0.125,0.249
GAGGIANO,2013,9,0.191,1.721
GARBAGNATE MILANESE,2013,3,0.241,0.724
GESSATE,2013,4,0.22,0.88
GORGONZOLA,2013,3,0.246,0.737
GREZZAGO,2013,3,0.244,0.732
GUDO VISCONTI,2013,6,0.157,0.944
INVERUNO,2013,0,0.0,0.0
INZAGO,2013,9,0.249,2.238
LACCHIARELLA,2013,1,0.139,0.139
LAINATE,2013,7,0.23,1.608
LEGNANO,2013,7,0.307,2.146
LISCATE,2013,2,0.189,0.378
LOCATE DI TRIULZI,2013,4,0.289,1.154
MAGENTA,2013,5,0.239,1.195
MAGNAGO,2013,0,0.0,0.0
MARCALLO CON CASONE,2013,3,0.157,0.47
MASATE,2013,4,0.207,0.827
MEDIGLIA,2013,4,0.251,1.002
MELEGNANO,2013,1,0.036,0.036
MELZO,2013,2,0.178,0.356
MESERO,2013,1,0.0,0.0
MORIMONDO,2013,3,0.159,0.476
MOTTA VISCONTI,2013,0,0.0,0.0
MUNICIPIO_1,2013,13,0.323,4.198
