area_associata,Year,frequency_O3,exposure_O3,intensity_O3
ABBIATEGRASSO,2013,30,1.657,49.712
ALBAIRATE,2013,30,1.648,49.447
ARCONATE,2013,31,1.978,61.313
ARESE,2013,28,1.61,45.073
ARLUNO,2013,29,1.754,50.88
ASSAGO,2013,28,1.427,39.959
BARANZATE,2013,28,1.675,46.898
BAREGGIO,2013,28,1.661,46.516
BASIANO,2013,29,1.648,47.803
BASIGLIO,2013,29,1.614,46.812
BELLINZAGO LOMBARDO,2013,29,1.482,42.984
BERNATE TICINO,2013,31,2.064,63.973
BESATE,2013,29,1.595,46.264
BINASCO,2013,29,1.708,49.531
BOFFALORA SOPRA TICINO,2013,29,1.855,53.79
BOLLATE,2013,28,1.683,47.119
BRESSO,2013,29,1.747,50.677
BUBBIANO,2013,29,1.589,46.09
BUCCINASCO,2013,28,1.307,36.59
BUSCATE,2013,31,1.987,61.59
BUSSERO,2013,28,1.659,46.455
BUSTO GAROLFO,2013,30,1.931,57.925
CALVIGNASCO,2013,29,1.591,46.143
CAMBIAGO,2013,29,1.613,46.772
CANEGRATE,2013,29,1.673,48.529
CARPIANO,2013,29,1.581,45.847
CARUGATE,2013,28,1.681,47.07
CASARILE,2013,30,1.7,51.014
CASOREZZO,2013,30,1.855,55.652
CASSANO D`ADDA,2013,29,1.403,40.69
CASSINA DE PECCHI,2013,28,1.686,47.201
CASSINETTA DI LUGAGNANO,2013,29,1.69,48.996
CASTANO PRIMO,2013,31,1.969,61.029
CERNUSCO SUL NAVIGLIO,2013,28,1.705,47.744
CERRO AL LAMBRO,2013,29,1.586,45.993
CERRO MAGGIORE,2013,28,1.649,46.182
CESANO BOSCONE,2013,28,1.236,34.619
CESATE,2013,28,1.72,48.174
CINISELLO BALSAMO,2013,29,1.724,49.986
CISLIANO,2013,28,1.619,45.33
COLOGNO MONZESE,2013,28,1.762,49.326
COLTURANO,2013,28,1.625,45.509
CORBETTA,2013,27,1.756,47.417
CORMANO,2013,28,1.867,52.273
CORNAREDO,2013,28,1.644,46.045
CORSICO,2013,27,1.247,33.68
CUGGIONO,2013,31,2.246,69.627
CUSAGO,2013,28,1.471,41.199
CUSANO MILANINO,2013,28,1.84,51.512
DAIRAGO,2013,31,1.926,59.708
DRESANO,2013,28,1.623,45.443
GAGGIANO,2013,28,1.494,41.824
GARBAGNATE MILANESE,2013,28,1.698,47.539
GESSATE,2013,29,1.533,44.456
GORGONZOLA,2013,29,1.593,46.201
GREZZAGO,2013,30,1.747,52.401
GUDO VISCONTI,2013,29,1.557,45.144
INVERUNO,2013,31,1.969,61.051
INZAGO,2013,30,1.38,41.392
LACCHIARELLA,2013,31,1.706,52.887
LAINATE,2013,28,1.703,47.688
LEGNANO,2013,28,1.645,46.061
LISCATE,2013,28,1.631,45.656
LOCATE DI TRIULZI,2013,29,1.576,45.718
MAGENTA,2013,25,1.79,44.752
MAGNAGO,2013,30,1.941,58.224
MARCALLO CON CASONE,2013,28,1.804,50.512
MASATE,2013,29,1.535,44.505
MEDIGLIA,2013,28,1.643,45.992
MELEGNANO,2013,28,1.616,45.248
MELZO,2013,29,1.564,45.36
MESERO,2013,30,1.958,58.749
MORIMONDO,2013,29,1.598,46.347
MOTTA VISCONTI,2013,32,1.571,50.281
MUNICIPIO_1,2013,27,1.518,40.99
MUNICIPIO_2,2013,28,1.654,46.306
MUNICIPIO_3,2013,28,1.702,47.644
MUNICIPIO_4,2013,28,1.553,43.498
MUNICIPIO_5,2013,28,1.512,42.346
MUNICIPIO_6,2013,28,1.43,40.035
MUNICIPIO_7,2013,28,1.455,40.727
MUNICIPIO_8,2013,28,1.641,45.937
MUNICIPIO_9,2013,28,1.715,48.019
NERVIANO,2013,29,1.723,49.97
NOSATE,2013,30,1.958,58.734
NOVATE MILANESE,2013,28,1.723,48.233
NOVIGLIO,2013,29,1.58,45.81
OPERA,2013,28,1.581,44.28
OSSONA,2013,30,1.816,54.476
OZZERO,2013,29,1.624,47.089
PADERNO DUGNANO,2013,28,1.811,50.72
PANTIGLIATE,2013,28,1.672,46.815
PARABIAGO,2013,29,1.754,50.865
PAULLO,2013,28,1.628,45.597
PERO,2013,28,1.65,46.211
PESCHIERA BORROMEO,2013,28,1.665,46.625
PESSANO CON BORNAGO,2013,29,1.628,47.214
PIEVE EMANUELE,2013,29,1.596,46.279
PIOLTELLO,2013,27,1.784,48.161
POGLIANO MILANESE,2013,28,1.724,48.258
POZZO D`ADDA,2013,29,1.544,44.77
POZZUOLO MARTESANA,2013,29,1.466,42.503
PREGNANA MILANESE,2013,28,1.696,47.49
RESCALDINA,2013,28,1.656,46.368
RHO,2013,28,1.653,46.291
ROBECCHETTO CON INDUNO,2013,31,2.092,64.842
ROBECCO SUL NAVIGLIO,2013,27,1.752,47.293
RODANO,2013,27,1.77,47.801
ROSATE,2013,29,1.573,45.627
ROZZANO,2013,28,1.547,43.308
SAN DONATO MILANESE,2013,28,1.611,45.104
SAN GIORGIO SU LEGNANO,2013,29,1.667,48.329
SAN GIULIANO MILANESE,2013,28,1.612,45.147
SAN VITTORE OLONA,2013,28,1.648,46.144
SAN ZENONE AL LAMBRO,2013,29,1.589,46.075
SANTO STEFANO TICINO,2013,29,1.737,50.361
SEDRIANO,2013,28,1.72,48.166
SEGRATE,2013,28,1.743,48.804
SENAGO,2013,29,1.674,48.559
SESTO SAN GIOVANNI,2013,28,1.802,50.454
SETTALA,2013,28,1.662,46.543
SETTIMO MILANESE,2013,28,1.542,43.165
SOLARO,2013,28,1.734,48.56
TREZZANO ROSA,2013,29,1.673,48.503
TREZZANO SUL NAVIGLIO,2013,28,1.349,37.769
TREZZO SULL`ADDA,2013,30,2.002,60.063
TRIBIANO,2013,28,1.635,45.782
TRUCCAZZANO,2013,29,1.485,43.054
TURBIGO,2013,31,1.997,61.907
VANZAGHELLO,2013,30,1.932,57.958
VANZAGO,2013,28,1.727,48.37
VAPRIO D`ADDA,2013,29,1.656,48.027
VERMEZZO CON ZELO,2013,29,1.565,45.379
VERNATE,2013,29,1.607,46.594
VIGNATE,2013,28,1.701,47.634
VILLA CORTESE,2013,29,1.854,53.761
VIMODRONE,2013,28,1.742,48.777
VITTUONE,2013,30,1.697,50.906
VIZZOLO PREDABISSI,2013,28,1.619,45.344
ZIBIDO SAN GIACOMO,2013,29,1.575,45.675
ABBIATEGRASSO,2014,30,1.175,35.262
ALBAIRATE,2014,30,1.151,34.541
ARCONATE,2014,34,1.523,51.771
ARESE,2014,29,1.057,30.648
ARLUNO,2014,30,1.193,35.783
ASSAGO,2014,29,1.055,30.599
BARANZATE,2014,29,1.141,33.089
BAREGGIO,2014,30,1.115,33.462
BASIANO,2014,31,1.163,36.056
BASIGLIO,2014,31,1.316,40.792
BELLINZAGO LOMBARDO,2014,31,1.021,31.636
BERNATE TICINO,2014,31,1.221,37.839
BESATE,2014,32,1.329,42.52
BINASCO,2014,32,1.389,44.456
BOFFALORA SOPRA TICINO,2014,30,1.17,35.108
BOLLATE,2014,29,1.167,33.857
BRESSO,2014,30,1.131,33.928
BUBBIANO,2014,32,1.306,41.781
BUCCINASCO,2014,29,0.965,27.989
BUSCATE,2014,34,1.362,46.298
BUSSERO,2014,31,1.14,35.33
BUSTO GAROLFO,2014,34,1.373,46.665
CALVIGNASCO,2014,32,1.309,41.887
CAMBIAGO,2014,30,1.14,34.193
CANEGRATE,2014,30,1.232,36.972
CARPIANO,2014,31,1.194,37.024
CARUGATE,2014,31,1.12,34.709
CASARILE,2014,32,1.411,45.162
CASOREZZO,2014,31,1.302,40.372
CASSANO D`ADDA,2014,30,0.95,28.51
CASSINA DE PECCHI,2014,31,1.164,36.071
CASSINETTA DI LUGAGNANO,2014,30,1.14,34.193
CASTANO PRIMO,2014,34,1.263,42.929
CERNUSCO SUL NAVIGLIO,2014,30,1.16,34.79
CERRO AL LAMBRO,2014,31,1.164,36.091
CERRO MAGGIORE,2014,30,1.185,35.562
CESANO BOSCONE,2014,29,0.927,26.897
CESATE,2014,29,1.145,33.205
CINISELLO BALSAMO,2014,30,1.121,33.636
CISLIANO,2014,30,1.127,33.798
COLOGNO MONZESE,2014,30,1.074,32.21
COLTURANO,2014,31,1.143,35.448
CORBETTA,2014,30,1.139,34.173
CORMANO,2014,30,1.171,35.12
CORNAREDO,2014,29,1.106,32.075
CORSICO,2014,29,0.919,26.663
CUGGIONO,2014,33,1.272,41.964
CUSAGO,2014,29,1.044,30.264
CUSANO MILANINO,2014,30,1.159,34.763
DAIRAGO,2014,34,1.439,48.94
DRESANO,2014,31,1.146,35.533
GAGGIANO,2014,29,1.107,32.096
GARBAGNATE MILANESE,2014,29,1.127,32.671
GESSATE,2014,31,1.08,33.473
GORGONZOLA,2014,30,1.113,33.384
GREZZAGO,2014,30,1.332,39.951
GUDO VISCONTI,2014,30,1.214,36.418
INVERUNO,2014,33,1.263,41.687
INZAGO,2014,31,0.962,29.832
LACCHIARELLA,2014,33,1.456,48.061
LAINATE,2014,29,1.142,33.125
LEGNANO,2014,28,1.198,33.55
LISCATE,2014,31,1.14,35.325
LOCATE DI TRIULZI,2014,31,1.211,37.551
MAGENTA,2014,29,1.148,33.296
MAGNAGO,2014,34,1.331,45.238
MARCALLO CON CASONE,2014,30,1.156,34.694
MASATE,2014,31,1.093,33.896
MEDIGLIA,2014,30,1.163,34.894
MELEGNANO,2014,31,1.155,35.816
MELZO,2014,30,1.096,32.887
MESERO,2014,31,1.232,38.202
MORIMONDO,2014,31,1.257,38.966
MOTTA VISCONTI,2014,33,1.382,45.607
MUNICIPIO_1,2014,29,1.096,31.776
MUNICIPIO_2,2014,30,1.039,31.167
MUNICIPIO_3,2014,30,1.078,32.331
MUNICIPIO_4,2014,29,1.111,32.224
MUNICIPIO_5,2014,29,1.098,31.854
MUNICIPIO_6,2014,29,1.029,29.842
MUNICIPIO_7,2014,29,1.017,29.49
MUNICIPIO_8,2014,29,1.094,31.731
MUNICIPIO_9,2014,30,1.091,32.744
NERVIANO,2014,30,1.168,35.032
NOSATE,2014,32,1.233,39.448
NOVATE MILANESE,2014,29,1.161,33.656
NOVIGLIO,2014,31,1.289,39.967
OPERA,2014,30,1.176,35.288
OSSONA,2014,31,1.242,38.492
OZZERO,2014,31,1.224,37.945
PADERNO DUGNANO,2014,30,1.156,34.694
PANTIGLIATE,2014,30,1.184,35.52
PARABIAGO,2014,30,1.219,36.584
PAULLO,2014,31,1.142,35.4
PERO,2014,29,1.126,32.652
PESCHIERA BORROMEO,2014,30,1.171,35.145
PESSANO CON BORNAGO,2014,30,1.131,33.944
PIEVE EMANUELE,2014,31,1.282,39.731
PIOLTELLO,2014,30,1.274,38.227
POGLIANO MILANESE,2014,30,1.142,34.265
POZZO D`ADDA,2014,31,1.1,34.093
POZZUOLO MARTESANA,2014,31,1.008,31.24
PREGNANA MILANESE,2014,30,1.127,33.82
RESCALDINA,2014,29,1.193,34.589
RHO,2014,29,1.118,32.416
ROBECCHETTO CON INDUNO,2014,33,1.215,40.099
ROBECCO SUL NAVIGLIO,2014,30,1.142,34.248
RODANO,2014,30,1.273,38.183
ROSATE,2014,31,1.267,39.275
ROZZANO,2014,30,1.177,35.308
SAN DONATO MILANESE,2014,30,1.124,33.712
SAN GIORGIO SU LEGNANO,2014,29,1.227,35.589
SAN GIULIANO MILANESE,2014,30,1.145,34.357
SAN VITTORE OLONA,2014,29,1.192,34.573
SAN ZENONE AL LAMBRO,2014,31,1.166,36.137
SANTO STEFANO TICINO,2014,30,1.155,34.651
SEDRIANO,2014,30,1.151,34.536
SEGRATE,2014,30,1.108,33.242
SENAGO,2014,29,1.161,33.68
SESTO SAN GIOVANNI,2014,30,1.067,32.014
SETTALA,2014,31,1.16,35.962
SETTIMO MILANESE,2014,29,1.051,30.467
SOLARO,2014,29,1.141,33.083
TREZZANO ROSA,2014,30,1.21,36.299
TREZZANO SUL NAVIGLIO,2014,29,0.988,28.66
TREZZO SULL`ADDA,2014,32,1.455,46.566
TRIBIANO,2014,31,1.145,35.484
TRUCCAZZANO,2014,30,1.031,30.934
TURBIGO,2014,33,1.206,39.794
VANZAGHELLO,2014,34,1.286,43.711
VANZAGO,2014,30,1.144,34.306
VAPRIO D`ADDA,2014,30,1.201,36.042
VERMEZZO CON ZELO,2014,30,1.182,35.449
VERNATE,2014,32,1.331,42.603
VIGNATE,2014,31,1.185,36.729
VILLA CORTESE,2014,31,1.349,41.827
VIMODRONE,2014,30,1.063,31.889
VITTUONE,2014,30,1.17,35.112
VIZZOLO PREDABISSI,2014,31,1.152,35.702
ZIBIDO SAN GIACOMO,2014,31,1.294,40.12
ABBIATEGRASSO,2015,30,1.823,54.691
ALBAIRATE,2015,30,1.813,54.399
ARCONATE,2015,32,1.951,62.425
ARESE,2015,30,1.647,49.405
ARLUNO,2015,30,1.782,53.462
ASSAGO,2015,30,1.653,49.604
BARANZATE,2015,30,1.649,49.456
BAREGGIO,2015,30,1.722,51.648
BASIANO,2015,30,1.84,55.208
BASIGLIO,2015,30,1.668,50.032
BELLINZAGO LOMBARDO,2015,30,1.683,50.491
BERNATE TICINO,2015,32,2.022,64.706
BESATE,2015,31,1.783,55.277
BINASCO,2015,30,1.703,51.105
BOFFALORA SOPRA TICINO,2015,31,1.943,60.219
BOLLATE,2015,30,1.658,49.754
BRESSO,2015,29,1.712,49.643
BUBBIANO,2015,30,1.809,54.259
BUCCINASCO,2015,30,1.573,47.197
BUSCATE,2015,32,1.923,61.544
BUSSERO,2015,30,1.729,51.885
BUSTO GAROLFO,2015,32,1.835,58.711
CALVIGNASCO,2015,30,1.799,53.983
CAMBIAGO,2015,30,1.778,53.344
CANEGRATE,2015,30,1.632,48.964
CARPIANO,2015,30,1.755,52.664
CARUGATE,2015,30,1.727,51.817
CASARILE,2015,30,1.703,51.103
CASOREZZO,2015,31,1.843,57.141
CASSANO D`ADDA,2015,30,1.845,55.351
CASSINA DE PECCHI,2015,29,1.7,49.305
CASSINETTA DI LUGAGNANO,2015,30,1.85,55.512
CASTANO PRIMO,2015,32,1.916,61.319
CERNUSCO SUL NAVIGLIO,2015,29,1.717,49.785
CERRO AL LAMBRO,2015,30,1.734,52.028
CERRO MAGGIORE,2015,30,1.592,47.759
CESANO BOSCONE,2015,30,1.533,46.0
CESATE,2015,30,1.659,49.756
CINISELLO BALSAMO,2015,29,1.715,49.74
CISLIANO,2015,30,1.743,52.282
COLOGNO MONZESE,2015,30,1.716,51.493
COLTURANO,2015,30,1.691,50.734
CORBETTA,2015,30,1.853,55.588
CORMANO,2015,29,1.726,50.042
CORNAREDO,2015,30,1.685,50.564
CORSICO,2015,30,1.525,45.756
CUGGIONO,2015,32,2.096,67.063
CUSAGO,2015,30,1.652,49.563
CUSANO MILANINO,2015,29,1.722,49.934
DAIRAGO,2015,32,1.875,59.995
DRESANO,2015,30,1.706,51.171
GAGGIANO,2015,30,1.701,51.028
GARBAGNATE MILANESE,2015,30,1.645,49.346
GESSATE,2015,30,1.728,51.842
GORGONZOLA,2015,30,1.724,51.72
GREZZAGO,2015,30,1.98,59.403
GUDO VISCONTI,2015,30,1.785,53.539
INVERUNO,2015,32,1.941,62.107
INZAGO,2015,30,1.617,48.505
LACCHIARELLA,2015,30,1.759,52.78
LAINATE,2015,30,1.651,49.516
LEGNANO,2015,29,1.569,45.487
LISCATE,2015,29,1.721,49.907
LOCATE DI TRIULZI,2015,30,1.757,52.712
MAGENTA,2015,31,1.885,58.436
MAGNAGO,2015,31,1.881,58.296
MARCALLO CON CASONE,2015,31,1.905,59.07
MASATE,2015,30,1.749,52.477
MEDIGLIA,2015,29,1.684,48.828
MELEGNANO,2015,30,1.715,51.453
MELZO,2015,30,1.727,51.818
MESERO,2015,31,1.975,61.22
MORIMONDO,2015,30,1.811,54.341
MOTTA VISCONTI,2015,32,1.766,56.514
MUNICIPIO_1,2015,30,1.606,48.187
MUNICIPIO_2,2015,29,1.693,49.098
MUNICIPIO_3,2015,30,1.638,49.132
MUNICIPIO_4,2015,30,1.602,48.067
MUNICIPIO_5,2015,30,1.616,48.494
MUNICIPIO_6,2015,30,1.556,46.693
MUNICIPIO_7,2015,30,1.587,47.616
MUNICIPIO_8,2015,30,1.631,48.933
MUNICIPIO_9,2015,30,1.647,49.397
NERVIANO,2015,30,1.658,49.745
NOSATE,2015,31,1.921,59.566
NOVATE MILANESE,2015,30,1.677,50.304
NOVIGLIO,2015,30,1.758,52.727
OPERA,2015,30,1.68,50.391
OSSONA,2015,31,1.866,57.852
OZZERO,2015,30,1.814,54.414
PADERNO DUGNANO,2015,29,1.715,49.728
PANTIGLIATE,2015,29,1.673,48.512
PARABIAGO,2015,30,1.67,50.102
PAULLO,2015,30,1.707,51.195
PERO,2015,30,1.646,49.372
PESCHIERA BORROMEO,2015,29,1.625,47.138
PESSANO CON BORNAGO,2015,30,1.727,51.796
PIEVE EMANUELE,2015,30,1.727,51.808
PIOLTELLO,2015,29,1.652,47.899
POGLIANO MILANESE,2015,30,1.678,50.335
POZZO D`ADDA,2015,30,1.764,52.93
POZZUOLO MARTESANA,2015,30,1.732,51.964
PREGNANA MILANESE,2015,30,1.69,50.69
RESCALDINA,2015,30,1.596,47.873
RHO,2015,30,1.65,49.51
ROBECCHETTO CON INDUNO,2015,32,2.009,64.282
ROBECCO SUL NAVIGLIO,2015,31,1.871,57.998
RODANO,2015,29,1.647,47.759
ROSATE,2015,30,1.819,54.558
ROZZANO,2015,30,1.722,51.667
SAN DONATO MILANESE,2015,30,1.598,47.952
SAN GIORGIO SU LEGNANO,2015,30,1.608,48.25
SAN GIULIANO MILANESE,2015,30,1.646,49.393
SAN VITTORE OLONA,2015,30,1.576,47.273
SAN ZENONE AL LAMBRO,2015,30,1.751,52.538
SANTO STEFANO TICINO,2015,31,1.849,57.326
SEDRIANO,2015,30,1.757,52.716
SEGRATE,2015,29,1.76,51.038
SENAGO,2015,30,1.673,50.183
SESTO SAN GIOVANNI,2015,29,1.715,49.746
SETTALA,2015,29,1.695,49.165
SETTIMO MILANESE,2015,30,1.648,49.431
SOLARO,2015,30,1.67,50.085
TREZZANO ROSA,2015,30,1.896,56.873
TREZZANO SUL NAVIGLIO,2015,30,1.596,47.882
TREZZO SULL`ADDA,2015,31,2.002,62.074
TRIBIANO,2015,29,1.713,49.666
TRUCCAZZANO,2015,30,1.776,53.286
TURBIGO,2015,31,1.977,61.3
VANZAGHELLO,2015,31,1.877,58.172
VANZAGO,2015,30,1.7,51.002
VAPRIO D`ADDA,2015,30,1.917,57.497
VERMEZZO CON ZELO,2015,30,1.773,53.185
VERNATE,2015,30,1.771,53.124
VIGNATE,2015,29,1.671,48.466
VILLA CORTESE,2015,31,1.727,53.535
VIMODRONE,2015,29,1.743,50.554
VITTUONE,2015,30,1.789,53.667
VIZZOLO PREDABISSI,2015,30,1.716,51.484
ZIBIDO SAN GIACOMO,2015,30,1.67,50.104
ABBIATEGRASSO,2016,30,1.559,46.783
ALBAIRATE,2016,30,1.55,46.491
ARCONATE,2016,32,1.751,56.031
ARESE,2016,30,1.435,43.063
ARLUNO,2016,30,1.519,45.568
ASSAGO,2016,30,1.549,46.469
BARANZATE,2016,30,1.434,43.034
BAREGGIO,2016,30,1.505,45.141
BASIANO,2016,30,1.603,48.102
BASIGLIO,2016,31,1.669,51.729
BELLINZAGO LOMBARDO,2016,30,1.428,42.847
BERNATE TICINO,2016,32,1.733,55.458
BESATE,2016,33,1.591,52.513
BINASCO,2016,31,1.786,55.38
BOFFALORA SOPRA TICINO,2016,31,1.645,50.999
BOLLATE,2016,30,1.434,43.03
BRESSO,2016,30,1.415,42.455
BUBBIANO,2016,31,1.596,49.485
BUCCINASCO,2016,30,1.607,48.225
BUSCATE,2016,32,1.723,55.138
BUSSERO,2016,30,1.45,43.513
BUSTO GAROLFO,2016,31,1.67,51.783
CALVIGNASCO,2016,32,1.585,50.715
CAMBIAGO,2016,30,1.531,45.924
CANEGRATE,2016,30,1.47,44.087
CARPIANO,2016,30,1.551,46.521
CARUGATE,2016,30,1.452,43.561
CASARILE,2016,31,1.819,56.376
CASOREZZO,2016,30,1.598,47.953
CASSANO D`ADDA,2016,30,1.487,44.601
CASSINA DE PECCHI,2016,30,1.447,43.407
CASSINETTA DI LUGAGNANO,2016,30,1.556,46.674
CASTANO PRIMO,2016,32,1.69,54.065
CERNUSCO SUL NAVIGLIO,2016,30,1.446,43.388
CERRO AL LAMBRO,2016,30,1.509,45.283
CERRO MAGGIORE,2016,30,1.389,41.668
CESANO BOSCONE,2016,30,1.627,48.795
CESATE,2016,30,1.436,43.066
CINISELLO BALSAMO,2016,30,1.422,42.673
CISLIANO,2016,30,1.536,46.086
COLOGNO MONZESE,2016,30,1.444,43.334
COLTURANO,2016,30,1.479,44.356
CORBETTA,2016,30,1.573,47.18
CORMANO,2016,30,1.419,42.555
CORNAREDO,2016,30,1.482,44.471
