area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
ABBIATEGRASSO,2013,44,1.891,83.199
ALBAIRATE,2013,44,1.931,84.957
ARCONATE,2013,43,1.55,66.656
ARESE,2013,48,1.564,75.082
ARLUNO,2013,45,1.87,84.17
ASSAGO,2013,49,1.893,92.75
BARANZATE,2013,50,1.59,79.506
BAREGGIO,2013,47,1.849,86.9
BASIANO,2013,46,1.43,65.768
BASIGLIO,2013,49,1.875,91.865
BELLINZAGO LOMBARDO,2013,50,1.712,85.614
BERNATE TICINO,2013,42,1.759,73.867
BESATE,2013,46,1.818,83.627
BINASCO,2013,49,1.807,88.551
BOFFALORA SOPRA TICINO,2013,43,1.947,83.733
BOLLATE,2013,50,1.582,79.119
BRESSO,2013,50,1.81,90.504
BUBBIANO,2013,48,1.768,84.855
BUCCINASCO,2013,49,1.872,91.704
BUSCATE,2013,43,1.439,61.894
BUSSERO,2013,49,1.95,95.566
BUSTO GAROLFO,2013,43,1.661,71.414
CALVIGNASCO,2013,48,1.777,85.288
CAMBIAGO,2013,48,1.66,79.695
CANEGRATE,2013,45,1.723,77.527
CARPIANO,2013,49,1.9,93.124
CARUGATE,2013,49,1.929,94.518
CASARILE,2013,49,1.804,88.397
CASOREZZO,2013,43,1.796,77.219
CASSANO D`ADDA,2013,52,2.032,105.677
CASSINA DE PECCHI,2013,49,2.039,99.899
CASSINETTA DI LUGAGNANO,2013,44,2.005,88.22
CASTANO PRIMO,2013,42,1.356,56.952
CERNUSCO SUL NAVIGLIO,2013,49,2.023,99.103
CERRO AL LAMBRO,2013,49,1.904,93.302
CERRO MAGGIORE,2013,46,1.754,80.698
CESANO BOSCONE,2013,49,1.809,88.627
CESATE,2013,48,1.741,83.592
CINISELLO BALSAMO,2013,49,1.839,90.131
CISLIANO,2013,46,1.848,84.995
COLOGNO MONZESE,2013,49,1.939,94.996
COLTURANO,2013,49,1.947,95.385
CORBETTA,2013,44,2.054,90.368
CORMANO,2013,50,1.769,88.429
CORNAREDO,2013,48,1.801,86.439
CORSICO,2013,49,1.854,90.826
CUGGIONO,2013,43,1.509,64.907
CUSAGO,2013,49,1.779,87.17
CUSANO MILANINO,2013,49,1.776,87.026
DAIRAGO,2013,43,1.572,67.608
DRESANO,2013,49,1.931,94.617
GAGGIANO,2013,49,1.756,86.044
GARBAGNATE MILANESE,2013,48,1.656,79.464
GESSATE,2013,50,1.658,82.902
GORGONZOLA,2013,50,1.814,90.713
GREZZAGO,2013,44,1.478,65.045
GUDO VISCONTI,2013,47,1.811,85.12
INVERUNO,2013,42,1.728,72.561
INZAGO,2013,51,1.865,95.135
LACCHIARELLA,2013,49,1.833,89.799
LAINATE,2013,48,1.719,82.532
LEGNANO,2013,45,1.686,75.88
LISCATE,2013,50,1.917,95.835
LOCATE DI TRIULZI,2013,49,1.906,93.388
MAGENTA,2013,42,2.17,91.158
MAGNAGO,2013,43,1.437,61.785
MARCALLO CON CASONE,2013,43,2.05,88.166
MASATE,2013,47,1.586,74.524
MEDIGLIA,2013,49,1.99,97.507
MELEGNANO,2013,49,1.921,94.122
MELZO,2013,50,1.851,92.555
MESERO,2013,42,1.844,77.467
MORIMONDO,2013,46,1.807,83.11
MOTTA VISCONTI,2013,48,1.749,83.942
MUNICIPIO_1,2013,50,1.776,88.812
MUNICIPIO_2,2013,50,1.846,92.317
MUNICIPIO_3,2013,50,1.771,88.528
MUNICIPIO_4,2013,50,1.843,92.171
MUNICIPIO_5,2013,50,1.831,91.549
MUNICIPIO_6,2013,50,1.846,92.324
MUNICIPIO_7,2013,50,1.814,90.689
MUNICIPIO_8,2013,50,1.792,89.615
MUNICIPIO_9,2013,50,1.85,92.497
NERVIANO,2013,48,1.758,84.39
NOSATE,2013,41,1.213,49.736
NOVATE MILANESE,2013,50,1.702,85.105
NOVIGLIO,2013,49,1.789,87.679
OPERA,2013,49,1.925,94.304
OSSONA,2013,43,1.903,81.816
OZZERO,2013,45,1.782,80.203
PADERNO DUGNANO,2013,49,1.776,87.004
PANTIGLIATE,2013,49,2.027,99.324
PARABIAGO,2013,46,1.774,81.59
PAULLO,2013,49,1.959,96.007
PERO,2013,49,1.67,81.811
PESCHIERA BORROMEO,2013,49,2.003,98.171
PESSANO CON BORNAGO,2013,49,1.843,90.309
PIEVE EMANUELE,2013,49,1.888,92.489
PIOLTELLO,2013,47,2.177,102.33
POGLIANO MILANESE,2013,48,1.766,84.754
POZZO D`ADDA,2013,48,1.532,73.541
POZZUOLO MARTESANA,2013,51,1.847,94.21
PREGNANA MILANESE,2013,48,1.784,85.613
RESCALDINA,2013,46,1.705,78.446
RHO,2013,48,1.665,79.944
ROBECCHETTO CON INDUNO,2013,42,1.499,62.94
ROBECCO SUL NAVIGLIO,2013,44,2.078,91.416
RODANO,2013,47,2.169,101.96
ROSATE,2013,48,1.778,85.35
ROZZANO,2013,49,1.898,93.013
SAN DONATO MILANESE,2013,49,1.945,95.296
SAN GIORGIO SU LEGNANO,2013,45,1.679,75.565
SAN GIULIANO MILANESE,2013,49,1.949,95.5
SAN VITTORE OLONA,2013,45,1.733,77.992
SAN ZENONE AL LAMBRO,2013,49,1.884,92.297
SANTO STEFANO TICINO,2013,43,2.014,86.616
SEDRIANO,2013,46,1.851,85.125
SEGRATE,2013,49,1.97,96.544
SENAGO,2013,48,1.758,84.397
SESTO SAN GIOVANNI,2013,50,1.835,91.768
SETTALA,2013,49,2.03,99.456
SETTIMO MILANESE,2013,49,1.798,88.09
SOLARO,2013,49,1.714,83.98
TREZZANO ROSA,2013,45,1.441,64.85
TREZZANO SUL NAVIGLIO,2013,49,1.786,87.52
TREZZO SULL`ADDA,2013,44,1.37,60.274
TRIBIANO,2013,49,1.982,97.1
TRUCCAZZANO,2013,51,1.845,94.087
TURBIGO,2013,40,1.216,48.623
VANZAGHELLO,2013,42,1.413,59.335
VANZAGO,2013,48,1.787,85.795
VAPRIO D`ADDA,2013,46,1.376,63.309
VERMEZZO CON ZELO,2013,46,1.838,84.565
VERNATE,2013,49,1.765,86.508
VIGNATE,2013,48,2.08,99.82
VILLA CORTESE,2013,45,1.592,71.654
VIMODRONE,2013,49,1.957,95.911
VITTUONE,2013,45,1.912,86.052
VIZZOLO PREDABISSI,2013,49,1.919,94.053
ZIBIDO SAN GIACOMO,2013,49,1.842,90.273
ABBIATEGRASSO,2014,45,1.668,75.047
ALBAIRATE,2014,45,1.682,75.683
ARCONATE,2014,44,1.452,63.868
ARESE,2014,49,1.62,79.358
ARLUNO,2014,46,1.629,74.933
ASSAGO,2014,48,1.643,78.841
BARANZATE,2014,49,1.682,82.441
BAREGGIO,2014,48,1.594,76.493
BASIANO,2014,44,1.164,51.206
BASIGLIO,2014,48,1.602,76.884
BELLINZAGO LOMBARDO,2014,45,1.573,70.769
BERNATE TICINO,2014,43,1.554,66.821
BESATE,2014,48,1.527,73.301
BINASCO,2014,48,1.602,76.878
BOFFALORA SOPRA TICINO,2014,44,1.656,72.879
BOLLATE,2014,49,1.681,82.354
BRESSO,2014,48,1.626,78.033
BUBBIANO,2014,48,1.536,73.71
BUCCINASCO,2014,48,1.646,79.023
BUSCATE,2014,43,1.346,57.882
BUSSERO,2014,47,1.653,77.695
BUSTO GAROLFO,2014,45,1.543,69.422
