Comune,Cardio_incidence,Year,Multiplicator,Label
Abbiategrasso,0.2491833144867445,2013,1.0,1
Albairate,0.2256825938566553,2013,1.0,0
Arconate,0.2154729525536415,2013,2.0,0
Arese,0.2588707994155708,2013,2.0,1
Arluno,0.2468694096601073,2013,1.0,1
Assago,0.2299336149668074,2013,1.0,0
Baranzate,0.1396428571428571,2013,10.0,0
Bareggio,0.2366425470332851,2013,0.0,0
Basiano,0.2147138964577656,2013,3.0,0
Basiglio,0.1644788658440535,2013,8.0,0
Bellinzago Lombardo,0.2207859358841778,2013,2.0,0
Bernate Ticino,0.2374592833876221,2013,0.0,0
Besate,0.2306192101413944,2013,1.0,0
Binasco,0.2698412698412698,2013,3.0,1
Boffalora sopra Ticino,0.2338611449451887,2013,1.0,0
Bollate,0.2970750056141927,2013,6.0,1
Bresso,0.2788841564022869,2013,4.0,1
Bubbiano,0.1976388281591604,2013,4.0,0
Buccinasco,0.218361729038018,2013,2.0,0
Buscate,0.2440713536201469,2013,0.0,1
Bussero,0.2246200255250029,2013,2.0,0
Busto Garolfo,0.2342567418620031,2013,1.0,0
Calvignasco,0.2203672787979966,2013,2.0,0
Cambiago,0.2036117381489842,2013,4.0,0
Canegrate,0.254948914431673,2013,1.0,1
Carpiano,0.1967131474103585,2013,4.0,0
Carugate,0.2121669870914584,2013,3.0,0
Casarile,0.1898702594810379,2013,5.0,0
Casorezzo,0.2152623798965262,2013,2.0,0
Cassano d'Adda,0.232475503391838,2013,1.0,0
Cassina de' Pecchi,0.2280254777070063,2013,1.0,0
Cassinetta di Lugagnano,0.2381703470031545,2013,0.0,0
Castano Primo,0.2381893299802407,2013,0.0,0
Cernusco sul Naviglio,0.2348056704448584,2013,1.0,0
Cerro Maggiore,0.2425605078693294,2013,0.0,1
Cerro al Lambro,0.2298,2013,1.0,0
Cesano Boscone,0.2626449119793902,2013,2.0,1
Cesate,0.237453398336679,2013,0.0,0
Cinisello Balsamo,0.2641954438248967,2013,2.0,1
Cisliano,0.2088830255057168,2013,3.0,0
Cologno Monzese,0.2623290155993256,2013,2.0,1
Colturano,0.189494354442808,2013,5.0,0
Corbetta,0.209450047361676,2013,3.0,0
Cormano,0.2402607021182047,2013,0.0,1
Cornaredo,0.2485505797680927,2013,1.0,1
Corsico,0.2733140376266281,2013,3.0,1
Cuggiono,0.2400342382000489,2013,0.0,1
Cusago,0.2080173347778981,2013,3.0,0
Cusano Milanino,0.304884509429964,2013,6.0,1
Dairago,0.2010292164674634,2013,4.0,0
Dresano,0.2181759587495971,2013,2.0,0
Gaggiano,0.2399687045937185,2013,0.0,0
Garbagnate Milanese,0.2717277877161598,2013,3.0,1
Gessate,0.1887263241465351,2013,5.0,0
Gorgonzola,0.2295579970634398,2013,1.0,0
Grezzago,0.188957475994513,2013,5.0,0
Gudo Visconti,0.2044653349001175,2013,4.0,0
Inveruno,0.252930934416715,2013,1.0,1
Inzago,0.2208225268618006,2013,2.0,0
Lacchiarella,0.2513560300057703,2013,1.0,1
Lainate,0.2440009503444999,2013,0.0,1
Legnano,0.2357543598756252,2013,0.0,0
Liscate,0.1958587088915956,2013,4.0,0
Locate di Triulzi,0.228912041675015,2013,1.0,0
Magenta,0.2643301104972376,2013,2.0,1
Magnago,0.2289744981009224,2013,1.0,0
Marcallo con Casone,0.2335456475583864,2013,1.0,0
Masate,0.2062701435687078,2013,3.0,0
Mediglia,0.2192910140148392,2013,2.0,0
Melegnano,0.2590649680059952,2013,2.0,1
Melzo,0.2545563028856585,2013,1.0,1
Mesero,0.2323961184374222,2013,1.0,0
Morimondo,0.2303754266211604,2013,1.0,0
Motta Visconti,0.2363541394620005,2013,0.0,0
Nerviano,0.2552847406722883,2013,2.0,1
Nosate,0.2630098452883263,2013,2.0,1
Novate Milanese,0.2809179346470442,2013,4.0,1
Noviglio,0.1908779931584948,2013,5.0,0
Opera,0.2741766467065868,2013,3.0,1
Ossona,0.2452116339560179,2013,1.0,1
Ozzero,0.2444005270092226,2013,0.0,1
Paderno Dugnano,0.2497398985073359,2013,1.0,1
Pantigliate,0.2425995236474991,2013,0.0,1
Parabiago,0.241153534907673,2013,0.0,1
Paullo,0.238424264178033,2013,0.0,0
Pero,0.2555640098915731,2013,2.0,1
Peschiera Borromeo,0.2272228802035355,2013,1.0,0
Pessano con Bornago,0.214168039538715,2013,3.0,0
Pieve Emanuele,0.2268742640324479,2013,1.0,0
Pioltello,0.2125964786991512,2013,3.0,0
Pogliano Milanese,0.2455118874332848,2013,1.0,1
Pozzo d'Adda,0.1925287356321839,2013,5.0,0
Pozzuolo Martesana,0.2286831175177131,2013,1.0,0
Pregnana Milanese,0.2485706117781589,2013,1.0,1
Rescaldina,0.2522058304510482,2013,1.0,1
Rho,0.2698989978850829,2013,3.0,1
Robecchetto con Induno,0.2593730792870313,2013,2.0,1
Robecco sul Naviglio,0.2256469904041872,2013,1.0,0
Rodano,0.1982538330494037,2013,4.0,0
Rosate,0.232669616519174,2013,1.0,0
Rozzano,0.2487502113169271,2013,1.0,1
San Donato Milanese,0.2515074028474918,2013,1.0,1
San Giorgio su Legnano,0.2495585638610947,2013,1.0,1
San Giuliano Milanese,0.233387792270402,2013,1.0,0
San Vittore Olona,0.2364271096665463,2013,0.0,0
San Zenone al Lambro,0.2105887939221272,2013,3.0,0
Santo Stefano Ticino,0.2232871125611745,2013,2.0,0
Sedriano,0.2222126113657988,2013,2.0,0
Segrate,0.2361269229646495,2013,0.0,0
Senago,0.2408105560791706,2013,0.0,1
Sesto San Giovanni,0.269448497962059,2013,3.0,1
Settala,0.2139578833693304,2013,3.0,0
Settimo Milanese,0.2250392982100299,2013,1.0,0
Solaro,0.2260826139687522,2013,1.0,0
Trezzano Rosa,0.1804975124378109,2013,6.0,0
Trezzano sul Naviglio,0.2412196443524949,2013,0.0,1
Trezzo sull'Adda,0.2580187103240895,2013,2.0,1
Tribiano,0.1779879621668099,2013,6.0,0
Truccazzano,0.204485049833887,2013,4.0,0
Turbigo,0.2492553479555916,2013,1.0,1
Vanzaghello,0.2584415584415584,2013,2.0,1
Vanzago,0.2232470274474941,2013,2.0,0
