Comune,Neuro_incidence,Year,Multiplicator,Label
Abbiategrasso,0.0164279432089458,2013,0.0,1
Albairate,0.0121587030716723,2013,0.0,0
Arconate,0.013599274705349,2013,0.0,0
Arese,0.0131496556042579,2013,0.0,0
Arluno,0.016270551154272,2013,0.0,1
Assago,0.0115872057936028,2013,0.0,0
Baranzate,0.010625,2013,0.0,0
Bareggio,0.0144717800289435,2013,0.0,0
Basiano,0.0133514986376021,2013,0.0,0
Basiglio,0.0085324232081911,2013,1.0,0
Bellinzago Lombardo,0.0093071354705274,2013,1.0,0
Bernate Ticino,0.0153094462540716,2013,0.0,1
Besate,0.0180399804973183,2013,0.0,1
Binasco,0.0169869117237538,2013,0.0,1
Boffalora sopra Ticino,0.0155907429963459,2013,0.0,1
Bollate,0.0170671457444419,2013,0.0,1
Bresso,0.0181880971566708,2013,0.0,1
Bubbiano,0.0144293834717971,2013,0.0,0
Buccinasco,0.0123130719440517,2013,0.0,0
Buscate,0.013221406086044,2013,0.0,0
Bussero,0.014386819816684,2013,0.0,0
Busto Garolfo,0.014108310676758,2013,0.0,0
Calvignasco,0.020033388981636,2013,0.0,1
Cambiago,0.0121896162528216,2013,0.0,0
Canegrate,0.014367816091954,2013,0.0,0
Carpiano,0.0134462151394422,2013,0.0,0
Carugate,0.0127712166987091,2013,0.0,0
Casarile,0.0102295409181636,2013,1.0,0
Casorezzo,0.0127494456762749,2013,0.0,0
Cassano d'Adda,0.0135673522127705,2013,0.0,0
Cassina de' Pecchi,0.012663919070813,2013,0.0,0
Cassinetta di Lugagnano,0.0120925341745531,2013,0.0,0
Castano Primo,0.0129333572839949,2013,0.0,0
Cernusco sul Naviglio,0.0155653079910333,2013,0.0,1
Cerro Maggiore,0.0128951196931622,2013,0.0,0
Cerro al Lambro,0.0106,2013,0.0,0
Cesano Boscone,0.0168312580506655,2013,0.0,1
Cesate,0.014267278462862,2013,0.0,0
Cinisello Balsamo,0.0163324290057395,2013,0.0,1
Cisliano,0.0118733509234828,2013,0.0,0
Cologno Monzese,0.0175839183969612,2013,0.0,1
Colturano,0.0137457044673539,2013,0.0,0
Corbetta,0.0142642224327185,2013,0.0,0
Cormano,0.0159976299807435,2013,0.0,1
Cornaredo,0.0132447021191523,2013,0.0,0
Corsico,0.0182633863965267,2013,0.0,1
Cuggiono,0.0140621178772315,2013,0.0,0
Cusago,0.0105633802816901,2013,0.0,0
Cusano Milanino,0.0196016105107014,2013,0.0,1
Dairago,0.0126162018592297,2013,0.0,0
Dresano,0.0167579761521108,2013,0.0,1
Gaggiano,0.0138593942103498,2013,0.0,0
Garbagnate Milanese,0.0173673225998807,2013,0.0,1
Gessate,0.0108880571623001,2013,0.0,0
Gorgonzola,0.0134676725229102,2013,0.0,0
Grezzago,0.0096021947873799,2013,1.0,0
Gudo Visconti,0.0158636897767332,2013,0.0,1
Inveruno,0.0165989553105049,2013,0.0,1
Inzago,0.0140792886254168,2013,0.0,0
