area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
ABBIATEGRASSO,2013,25,0.902,22.553
ALBAIRATE,2013,26,0.898,23.347
ARCONATE,2013,16,0.908,14.529
ARESE,2013,18,0.988,17.789
ARLUNO,2013,22,0.886,19.503
ASSAGO,2013,23,0.858,19.744
BARANZATE,2013,18,1.019,18.334
BAREGGIO,2013,21,0.846,17.773
BASIANO,2013,18,0.732,13.175
BASIGLIO,2013,23,0.874,20.105
BELLINZAGO LOMBARDO,2013,23,0.893,20.528
BERNATE TICINO,2013,20,0.912,18.232
BESATE,2013,22,0.87,19.137
BINASCO,2013,23,0.855,19.671
BOFFALORA SOPRA TICINO,2013,26,0.928,24.116
BOLLATE,2013,18,1.016,18.297
BRESSO,2013,23,0.861,19.813
BUBBIANO,2013,22,0.869,19.121
BUCCINASCO,2013,23,0.848,19.502
BUSCATE,2013,16,0.875,14.001
BUSSERO,2013,23,0.968,22.262
BUSTO GAROLFO,2013,18,0.891,16.029
CALVIGNASCO,2013,22,0.871,19.152
CAMBIAGO,2013,21,0.825,17.315
CANEGRATE,2013,20,0.867,17.345
CARPIANO,2013,23,0.912,20.966
CARUGATE,2013,23,0.956,21.986
CASARILE,2013,22,0.883,19.436
CASOREZZO,2013,21,0.89,18.693
CASSANO D`ADDA,2013,28,0.899,25.175
CASSINA DE PECCHI,2013,23,1.021,23.493
CASSINETTA DI LUGAGNANO,2013,26,0.934,24.28
CASTANO PRIMO,2013,15,0.853,12.799
CERNUSCO SUL NAVIGLIO,2013,23,1.024,23.557
CERRO AL LAMBRO,2013,24,0.894,21.461
CERRO MAGGIORE,2013,19,0.906,17.213
CESANO BOSCONE,2013,23,0.82,18.851
CESATE,2013,19,0.972,18.47
CINISELLO BALSAMO,2013,23,0.869,19.984
CISLIANO,2013,22,0.884,19.443
COLOGNO MONZESE,2013,24,0.926,22.222
COLTURANO,2013,24,0.924,22.174
CORBETTA,2013,26,0.947,24.633
CORMANO,2013,22,0.838,18.443
CORNAREDO,2013,20,0.904,18.088
CORSICO,2013,23,0.839,19.29
CUGGIONO,2013,16,0.91,14.553
CUSAGO,2013,22,0.838,18.439
CUSANO MILANINO,2013,22,0.87,19.145
DAIRAGO,2013,17,0.842,14.311
DRESANO,2013,24,0.918,22.04
GAGGIANO,2013,22,0.857,18.86
GARBAGNATE MILANESE,2013,17,1.051,17.863
GESSATE,2013,22,0.869,19.107
GORGONZOLA,2013,23,0.929,21.376
GREZZAGO,2013,17,0.54,9.184
GUDO VISCONTI,2013,22,0.871,19.167
INVERUNO,2013,21,0.886,18.615
INZAGO,2013,24,0.953,22.881
LACCHIARELLA,2013,23,0.867,19.945
LAINATE,2013,18,1.04,18.722
LEGNANO,2013,18,0.898,16.171
LISCATE,2013,23,0.994,22.87
LOCATE DI TRIULZI,2013,23,0.898,20.658
