Comune,Year,Popolazione
Abbiategrasso,2013,0.21337479582862168
Abbiategrasso,2014,0.2146508728179551
Abbiategrasso,2015,0.21779160186625193
Abbiategrasso,2016,0.21883391462699467
Albairate,2013,0.1787542662116041
Albairate,2014,0.18421052631578946
Albairate,2015,0.19321093082835183
Albairate,2016,0.1974645466265578
Arconate,2013,0.16893321245089152
Arconate,2014,0.1760787282361847
Arconate,2015,0.18091361374943465
Arconate,2016,0.18385985926036832
Arese,2013,0.24227718639115006
Arese,2014,0.2516684045881126
Arese,2015,0.2583630629233235
Arese,2016,0.26474990966809475
Arluno,2013,0.18962432915921287
Arluno,2014,0.1947502116850127
Arluno,2015,0.19737947253485638
Arluno,2016,0.19924686192468619
Assago,2013,0.15377187688593844
Assago,2014,0.1591502492285782
Assago,2015,0.16428241808952468
Assago,2016,0.17115779858415164
Baranzate,2013,0.17348214285714286
Baranzate,2014,0.17862554594883678
Baranzate,2015,0.17724137931034484
Baranzate,2016,0.1800311742293038
Bareggio,2013,0.19536903039073805
Bareggio,2014,0.20154770154770155
Bareggio,2015,0.206244579358196
Bareggio,2016,0.21175237318735077
Basiano,2013,0.16294277929155312
Basiano,2014,0.1756830601092896
Basiano,2015,0.18647316538882805
Basiano,2016,0.19839955849889623
Basiglio,2013,0.15305854555001314
Basiglio,2014,0.16011124354390147
Basiglio,2015,0.17005177220230983
Basiglio,2016,0.17383300460223536
Bellinzago Lombardo,2013,0.1907962771458118
Bellinzago Lombardo,2014,0.19870967741935483
Bellinzago Lombardo,2015,0.20875420875420875
Bellinzago Lombardo,2016,0.2152395915161037
Bernate Ticino,2013,0.21107491856677524
Bernate Ticino,2014,0.22121014964216004
Bernate Ticino,2015,0.22905759162303665
Bernate Ticino,2016,0.22892751721876026
Besate,2013,0.18527547537786446
Besate,2014,0.18360498561840843
Besate,2015,0.19020172910662825
Besate,2016,0.19133398247322297
Binasco,2013,0.2328042328042328
Binasco,2014,0.2405010438413361
Binasco,2015,0.24348669623059868
Binasco,2016,0.247378587196468
Boffalora sopra Ticino,2013,0.21071863580998781
Boffalora sopra Ticino,2014,0.21789600967351874
Boffalora sopra Ticino,2015,0.2216019417475728
Boffalora sopra Ticino,2016,0.22441520467836257
Bollate,2013,0.2181113855827532
Bollate,2014,0.22267410877065044
Bollate,2015,0.2300488137132478
Bollate,2016,0.23342400544032643
Bresso,2013,0.27585280687617514
Bresso,2014,0.2786132476179543
Bresso,2015,0.2806079584510807
Bresso,2016,0.2806174957118353
Bubbiano,2013,0.13030170529077395
Bubbiano,2014,0.13596307175828787
Bubbiano,2015,0.14369256474519632
Bubbiano,2016,0.14851898206090947
Buccinasco,2013,0.16166951863700618
Buccinasco,2014,0.17117184019010842
Buccinasco,2015,0.17892275140131408
Buccinasco,2016,0.18650147928994082
Buscate,2013,0.20293809024134313
Buscate,2014,0.20575359599749843
Buscate,2015,0.21317340067340068
Buscate,2016,0.21372920614866286
Bussero,2013,0.18633252117415014
Bussero,2014,0.1968768074031232
Bussero,2015,0.20662790697674419
Bussero,2016,0.2112234227953991
Busto Garolfo,2013,0.19795723418326108
Busto Garolfo,2014,0.20256484989798892
Busto Garolfo,2015,0.20913705583756345
Busto Garolfo,2016,0.2104390454905919
Calvignasco,2013,0.1335559265442404
Calvignasco,2014,0.1474036850921273
Calvignasco,2015,0.15126050420168066
Calvignasco,2016,0.1568791946308725
Cambiago,2013,0.15665914221218963
Cambiago,2014,0.16305484979823645
Cambiago,2015,0.16760438258809596
Cambiago,2016,0.1721541414439687
Canegrate,2013,0.21878991060025543
Canegrate,2014,0.22439686850934654
Canegrate,2015,0.22793053545586106
Canegrate,2016,0.22925060435132957
Carpiano,2013,0.12450199203187251
Carpiano,2014,0.12725475660983446
Carpiano,2015,0.12860635696821515
Carpiano,2016,0.13214023044863937
Carugate,2013,0.1691842900302115
Carugate,2014,0.17290419161676646
Carugate,2015,0.17888701517706576
Carugate,2016,0.18243558159664425
Casarile,2013,0.1409680638722555
Casarile,2014,0.1431021808380299
Casarile,2015,0.15238330451963447
Casarile,2016,0.15378937007874016
Casorezzo,2013,0.1770140428677014
Casorezzo,2014,0.18468881953368826
Casorezzo,2015,0.1869295363271267
Casorezzo,2016,0.19311349972672617
Cassano d'Adda,2013,0.20237967050716055
Cassano d'Adda,2014,0.20797843665768195
Cassano d'Adda,2015,0.21252892739895593
Cassano d'Adda,2016,0.2160215053763441
Cassina de' Pecchi,2013,0.2109404271262645
Cassina de' Pecchi,2014,0.21935435882177923
Cassina de' Pecchi,2015,0.22472652521841274
Cassina de' Pecchi,2016,0.23100616016427106
Cassinetta di Lugagnano,2013,0.16771819137749738
Cassinetta di Lugagnano,2014,0.17842105263157895
Cassinetta di Lugagnano,2015,0.18042328042328043
Cassinetta di Lugagnano,2016,0.1864406779661017
Castano Primo,2013,0.20908927609125202
Castano Primo,2014,0.21232202023820185
Castano Primo,2015,0.21595573799750134
Castano Primo,2016,0.21896383186705767
Cernusco sul Naviglio,2013,0.21895620875824834
Cernusco sul Naviglio,2014,0.22173024523160764
Cernusco sul Naviglio,2015,0.22336360023235194
Cernusco sul Naviglio,2016,0.223518066479824
Cerro Maggiore,2013,0.2112154476921042
Cerro Maggiore,2014,0.2141874631558263
Cerro Maggiore,2015,0.21926779749819897
Cerro Maggiore,2016,0.22342165521753352
Cerro al Lambro,2013,0.1836
Cerro al Lambro,2014,0.1941786283891547
Cerro al Lambro,2015,0.20408163265306123
Cerro al Lambro,2016,0.214271516597098
Cesano Boscone,2013,0.21829111206526405
Cesano Boscone,2014,0.22148669730573006
Cesano Boscone,2015,0.2271406309227983
Cesano Boscone,2016,0.2337833248429275
Cesate,2013,0.17156581588758246
Cesate,2014,0.17479588214412495
Cesate,2015,0.17835699653881473
Cesate,2016,0.18181175305848243
Cinisello Balsamo,2013,0.22502760698558982
Cinisello Balsamo,2014,0.22870423069626256
Cinisello Balsamo,2015,0.2312670207889557
Cinisello Balsamo,2016,0.23484592169547036
Cisliano,2013,0.16094986807387862
Cisliano,2014,0.16727272727272727
Cisliano,2015,0.1714046822742475
Cisliano,2016,0.1785044782337013
Cologno Monzese,2013,0.21425065619598388
Cologno Monzese,2014,0.21925247125705316
Cologno Monzese,2015,0.22409342868023527
Cologno Monzese,2016,0.228311468472281
Colturano,2013,0.1404025527736868
Colturano,2014,0.1491955143832277
Colturano,2015,0.14805825242718446
Colturano,2016,0.15180722891566265
Corbetta,2013,0.17534964060845823
Corbetta,2014,0.18051797448782372
Corbetta,2015,0.18613905161932132
Corbetta,2016,0.1912766424961547
Cormano,2013,0.21631363254826447
