,COMUNE,Shape_Area,Grass_cover,Small_woods_cover,Trees_cover,Trees_mean_density,Non_class_surf,Imper_surf,Perm_surf,Non_cons_surf,Hardwood,Coniferous,Shrubs,Periodic_herb,Permanent_herb,Permanent_water,Wetlands
0,Abbiategrasso,47777744.23820001,0.1423759139001217,0.22875713732967484,0.23645318924386316,0.6886174450306269,0.045200961963233977,0.08644820022075629,0.015214196726743276,0.014672103322942684,0.2057275862794126,0.0011741868707804343,0.0008225587169638337,0.4304765812605232,0.1700708170626292,0.029785834862881215,0.0012286055136330036
1,Albairate,14981838.703300001,0.13606474080854883,0.2887896529714336,0.07993010896160767,0.703216701461378,0.040889507098021596,0.08037731708690435,0.008537002869469412,0.0,0.06945742913189891,4.672323697129467e-05,2.0024244416269145e-05,0.6960227116650992,0.10072194941383379,0.004712372185962006,0.0
2,Arconate,8421043.36362,0.10471386524495176,0.2512634015329932,0.09887135881486372,0.7968760509248141,0.10863261955781568,0.13421139770905474,0.009191260115626295,0.0,0.061987568221665706,0.0010331261370277616,1.1875013069284618e-05,0.27772093065135933,0.4028241933362728,0.005153755672069524,0.0
3,Arese,6584903.11726,0.07634129022830258,0.4957552057893252,0.16390522089398643,0.650811637172241,0.19157457255421464,0.3063370810593435,0.009536966433931574,0.0,0.08536192408460092,0.010448141570931406,0.00013667627054997478,0.15360894184588833,0.24092989247503888,0.002657594149582843,0.0
4,Arluno,12358508.679899998,0.1693570036815264,0.39188385309603463,0.08590842370218661,0.692588301780164,0.11233556054040282,0.18706949680426224,0.04745718235031784,0.0,0.03468055985566279,0.0001941981886458019,4.045795596787539e-05,0.46759687189431665,0.1452036039687048,0.00618197567189136,0.0
5,Assago,8052131.81079,0.1461476324099746,0.29901398245538396,0.06169794678898316,0.666873993558776,0.13703203399147348,0.2672087405619488,0.007935786634090225,0.0,0.03892136981414517,0.00033531492820099547,6.209535707425842e-05,0.3986894496309836,0.14983609662018554,0.0007575633563059527,0.0
6,Baranzate,2772094.51631,0.09992444282481436,0.28653424164530705,0.0631652344354693,0.676276413478013,0.22232286683369348,0.40741756579908067,0.0018397641097709504,0.0,0.04779779304797077,0.001406878436883668,0.0,0.10515514470553569,0.21474736755816604,0.0,0.0
7,Bareggio,11384136.8763,0.1928209423210517,0.3508390704889438,0.07788908457750288,0.6892759670689069,0.10964379764253872,0.1832110789481197,0.018710245872344777,0.0,0.043261953484177475,0.0005358333324943809,0.00020203551880935674,0.5264079363342749,0.11334192605204912,0.0056218579146951435,0.0
8,Basiano,4591508.84377,0.1944676641996527,0.3813996791874026,0.11100926021118039,0.837349421228173,0.14130431238966812,0.19586154151052487,0.004312307930510834,0.0,0.07322211748675465,0.00084939398631274,8.711733192951179e-05,0.34886135571172994,0.23621864552687122,2.1779332982377947e-05,0.0
9,Basiglio,8492284.075899998,0.06872120560076189,0.7160146723372048,0.18291898694349473,0.7511008111239861,0.037304451566691856,0.06628369882225646,0.012682100485267403,0.0,0.12033276217172477,0.007712883767734585,0.0004356896174140147,0.6204926675679484,0.10649667297006349,0.02913232739141277,0.0
