Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Abbadia Cerreto";67;64;70;72;70;71;68;71;81;79;75;
"Abbiategrasso";7933;8091;8199;8368;8507;8588;8634;8603;8593;8684;8854;
"Albairate";1058;1079;1101;1141;1192;1214;1220;1204;1203;1197;1248;
"Arconate";1426;1482;1507;1550;1592;1610;1622;1631;1655;1649;1707;
"Arese";4961;5081;5126;5272;5334;5427;5480;5469;5504;5584;5612;
"Arluno";2898;2982;3027;3033;3049;3075;3096;3108;3181;3193;3306;
"Assago";1905;1946;1994;2066;2098;2124;2164;2163;2203;2246;2344;
"Baranzate";1564;1753;1913;2078;2319;2372;2414;2418;2419;2484;2539;
"Bareggio";4088;4255;4319;4425;4529;4613;4679;4647;4769;4719;4871;
"Basiano";788;828;841;860;893;915;905;920;945;937;957;
"Basiglio";1253;1262;1324;1381;1400;1425;1474;1463;1499;1569;1631;
"Bellinzago Lombardo";854;881;913;926;935;945;962;942;953;965;1005;
"Bernate Ticino";729;746;778;760;792;777;795;815;829;805;839;
"Bertonico";363;352;350;357;365;358;334;318;324;321;313;
"Besate";473;461;481;476;491;491;476;472;465;478;496;
"Binasco";1938;1974;1979;1994;2011;2014;2014;2007;1989;1989;2016;
"Boffalora d'Adda";357;379;393;397;395;400;403;413;407;405;417;
"Boffalora sopra Ticino";960;981;998;1021;1052;1046;1066;1059;1072;1087;1114;
"Bollate";10583;10651;10633;10713;10705;10825;10778;10650;10687;10848;11069;
"Borghetto Lodigiano";1001;1021;1021;1058;1050;1063;1071;1085;1116;1156;1176;
"Borgo San Giovanni";447;470;468;479;488;524;530;563;590;599;618;
"Brembio";637;659;659;658;686;700;709;726;735;734;773;
"Bresso";7268;7383;7433;7548;7671;7762;7752;7784;7816;7763;7872;
"Bubbiano";452;458;472;480;494;512;526;540;561;565;560;
"Buccinasco";5870;5977;6098;6358;6535;6701;6818;6834;7011;7114;7362;
"Buscate";1163;1197;1197;1238;1259;1292;1287;1284;1292;1309;1331;
"Bussero";1936;2022;2117;2161;2199;2265;2284;2336;2372;2408;2440;
"Busto Garolfo";3188;3286;3393;3453;3509;3575;3594;3580;3663;3687;3866;
"Calvignasco";264;275;288;288;292;310;316;310;326;329;339;
"Cambiago";1353;1398;1453;1486;1558;1585;1613;1640;1683;1617;1595;
"Canegrate";3194;3274;3281;3379;3391;3437;3425;3405;3489;3542;3658;
"Carpiano";790;813;829;824;860;891;896;904;924;897;926;
"Carugate";3090;3260;3323;3442;3612;3729;3810;3823;3916;3937;4105;
"Casaletto Lodigiano";566;604;625;640;658;663;676;660;677;703;715;
"Casalmaiocco";567;588;635;662;688;696;700;710;710;728;742;
"Casalpusterlengo";3631;3773;3845;3904;3929;4006;4014;4039;4042;4050;4212;
"Casarile";761;798;805;824;836;860;866;885;899;899;895;
"Caselle Landi";471;478;488;472;457;454;462;473;466;460;453;
"Caselle Lurani";624;641;635;665;650;666;700;729;734;747;777;
"Casorezzo";1165;1195;1223;1242;1265;1302;1296;1297;1317;1342;1342;
"Cassano d'Adda";4318;4435;4554;4610;4695;4785;4804;4808;4924;4916;5006;
"Cassina de' Pecchi";3043;3147;3236;3319;3413;3428;3483;3480;3565;3616;3696;
"Cassinetta di Lugagnano";453;471;468;471;463;482;482;470;479;500;520;
"Castano Primo";2652;2730;2724;2779;2826;2877;2841;2853;2875;2925;2979;
"Castelgerundo";337;340;353;361;374;370;374;361;373;366;369;
"Castelnuovo Bocca d'Adda";478;492;482;491;506;489;481;489;492;479;479;
"Castiglione d'Adda";1195;1229;1241;1246;1266;1284;1304;1278;1238;1227;1263;
"Castiraga Vidardo";483;514;530;546;574;582;581;592;632;673;716;
"Cavenago d'Adda";475;495;510;526;557;579;583;585;563;574;596;
