Comune,2013,2014,2015,2016,2017,2018,2019
Abbiategrasso,0.24918331448674458,0.252213216957606,0.2550233281493002,0.25827957653013983,0.26274824721252743,0.26370252095679675,0.2658824253995627
Albairate,0.2256825938566553,0.2289898132427844,0.23505550811272416,0.2451654490760636,0.2547552895917931,0.25923553277813366,0.2610183996576808
Arconate,0.21547295255364157,0.22437547312641937,0.22719734660033167,0.23207066926186554,0.23761194029850746,0.24261603375527427,0.24523737526459027
Arese,0.25887079941557084,0.26491136600625653,0.26503283180807613,0.2721313167810871,0.2733142037302726,0.28655156027245365,0.28556539864512764
Arluno,0.24686940966010734,0.252497883149873,0.2542415588778767,0.2538075313807531,0.2551677964683237,0.2552502697767079,0.2559947081197288
Assago,0.22993361496680748,0.23095181580821267,0.23004153207198894,0.23589860698789678,0.23730347245786676,0.23905458638154192,0.24407850214301827
Baranzate,0.13964285714285715,0.15625278545324894,0.16491379310344828,0.1799445791479044,0.1996040626613875,0.20344798010120937,0.2070148357773776
Bareggio,0.2366425470332851,0.24572649572649571,0.24972535414859787,0.2577019393162891,0.2628097255266059,0.26912082142232074,0.27230402141651633
Basiano,0.21471389645776567,0.2262295081967213,0.23028477546549836,0.23730684326710816,0.24499314128943758,0.24850624660510592,0.24787729389208435
Basiglio,0.16447886584405355,0.1671301814329228,0.17575998938006107,0.18159105851413543,0.1822204867890147,0.1831854994215195,0.18667679837892603
Bellinzago Lombardo,0.22078593588417786,0.22735483870967743,0.23646723646723647,0.24247185126996595,0.24254215304798962,0.24692970995557878,0.25052083333333336
Bernate Ticino,0.23745928338762215,0.24268054651919324,0.2545811518324607,0.24926205313217448,0.25882352941176473,0.25517241379310346,0.26298379093615615
Besate,0.23061921014139444,0.22099712368168745,0.23102785782901056,0.2317429406037001,0.23811833171677982,0.24021526418786693,0.23196881091617932
Binasco,0.2698412698412698,0.2747390396659708,0.27425166297117515,0.2751103752759382,0.27760905577029266,0.27825366123238465,0.2793342579750347
Boffalora sopra Ticino,0.23386114494518878,0.23724304715840386,0.24223300970873787,0.24878167641325535,0.257590597453477,0.2549354131123568,0.2586750788643533
Bollate,0.2970750056141927,0.2987406389364149,0.30176524009535705,0.30355321319279155,0.3031289820189721,0.30038571468213227,0.2989321869366246
Bresso,0.2788841564022869,0.2825163586270233,0.2838539677690369,0.28770726129216695,0.29186165962789634,0.2955826351865956,0.2943499392466586
Bubbiano,0.19763882815916048,0.1921947125472094,0.1971595655806182,0.2002503128911139,0.20695433598659405,0.21476510067114093,0.222692633361558
Buccinasco,0.218361729038018,0.22192930343086292,0.22636326515460856,0.23513313609467457,0.24183103282389076,0.24786388015535418,0.25325953716429556
Buscate,0.2440713536201469,0.24953095684803,0.2518939393939394,0.26068646030743314,0.2668503603221704,0.27460148777895854,0.2771914710316606
