Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Abbadia Cerreto";4;(*);(*);(*);(*);4;(*);4;5;5;5;
"Abbiategrasso";523;545;568;607;593;593;608;591;586;615;603;
"Albairate";57;63;70;69;70;78;75;82;84;77;77;
"Arconate";90;93;95;102;116;119;117;111;112;121;127;
"Arese";252;277;302;323;308;316;327;327;355;369;387;
"Arluno";191;223;227;221;213;214;221;227;208;217;205;
"Assago";96;110;119;140;148;147;150;138;136;134;141;
"Baranzate";119;122;120;125;145;145;157;170;170;168;167;
"Bareggio";250;253;281;289;303;336;335;337;345;314;306;
"Basiano";49;46;45;48;44;42;44;44;35;40;44;
"Basiglio";65;73;78;79;78;95;102;106;102;101;105;
"Bellinzago Lombardo";36;46;51;52;56;56;51;46;47;56;52;
"Bernate Ticino";47;50;55;57;55;56;59;57;54;56;57;
"Bertonico";31;37;30;38;36;32;31;29;26;26;25;
"Besate";37;41;45;43;40;44;41;38;31;37;33;
"Binasco";122;138;149;152;162;168;165;173;173;167;159;
"Boffalora d'Adda";25;23;21;20;27;26;25;27;22;26;33;
"Boffalora sopra Ticino";64;67;64;65;70;65;58;60;56;51;59;
"Bollate";608;624;693;690;716;713;734;725;717;726;734;
"Borghetto Lodigiano";72;85;87;93;82;84;79;83;83;84;89;
"Borgo San Giovanni";29;34;38;38;38;43;40;37;34;43;42;
"Brembio";41;49;56;62;63;64;57;54;55;54;55;
"Bresso";474;503;499;519;556;567;561;579;580;556;556;
"Bubbiano";33;40;41;34;34;42;36;34;36;31;31;
"Buccinasco";331;351;360;400;411;448;456;464;463;458;463;
"Buscate";63;77;76;78;77;88;84;85;81;87;81;
"Bussero";124;130;142;140;151;149;134;124;131;128;130;
"Busto Garolfo";192;202;212;223;240;235;252;250;228;241;252;
"Calvignasco";24;26;24;20;19;21;22;21;25;23;22;
"Cambiago";81;87;85;80;89;91;94;100;103;104;102;
"Canegrate";180;207;210;219;248;248;245;230;231;228;230;
"Carpiano";54;59;61;70;69;67;73;62;65;59;61;
"Carugate";186;190;186;189;210;220;231;233;225;241;252;
"Casaletto Lodigiano";34;35;32;37;52;41;40;42;43;39;42;
"Casalmaiocco";49;51;57;53;59;57;57;63;61;61;65;
"Casalpusterlengo";246;277;311;311;304;303;322;319;298;313;335;
"Casarile";41;49;58;62;63;62;58;56;56;57;64;
"Caselle Landi";30;36;38;28;26;29;28;29;31;34;37;
"Caselle Lurani";50;50;45;50;55;54;53;65;54;47;48;
"Casorezzo";69;77;86;85;82;73;74;71;74;81;88;
"Cassano d'Adda";252;264;279;274;283;294;289;297;305;317;328;
"Cassina de' Pecchi";169;185;204;219;228;250;237;231;234;240;231;
"Cassinetta di Lugagnano";23;26;28;33;34;32;31;34;36;29;28;
"Castano Primo";144;161;149;170;174;172;169;183;172;177;189;
"Castelgerundo";29;30;32;33;31;35;27;29;29;22;28;
"Castelnuovo Bocca d'Adda";45;46;52;49;50;46;39;34;35;35;33;
