Comune,2013,2014,2015,2016,2017,2018,2019
Abbiategrasso,0.016427943208945847,0.016988778054862843,0.017667185069984447,0.018735146146486,0.018315470858943077,0.018208616083765776,0.018723247005204325
Albairate,0.012158703071672355,0.013370118845500848,0.014944491887275833,0.01482595616673829,0.014960461637101945,0.016655989750160152,0.016046213093709884
Arconate,0.013599274705349048,0.014080242240726723,0.014322327755163577,0.015271747267555024,0.017313432835820895,0.017932489451476793,0.017689749017236165
Arese,0.013149655604257984,0.014442127215849844,0.015614497699188252,0.016672688793681927,0.015781922525107604,0.01668514705105866,0.017040125065138093
Arluno,0.016270551154272086,0.018882303132938188,0.01906601713421804,0.018493723849372385,0.01782575947778057,0.0177637586121026,0.01827352406151811
Assago,0.011587205793602897,0.013054830287206266,0.013728657129672358,0.015985384791048184,0.016740187761565432,0.01654473832301632,0.01691856530566208
Baranzate,0.010625,0.010874409483911222,0.010344827586206896,0.010824385174922065,0.01248063349974178,0.012436744146153186,0.013463682360003431
Bareggio,0.01447178002894356,0.01461076461076461,0.016247470367158137,0.01683070292935764,0.017582545116926827,0.019602123563386035,0.019496013501716813
Basiano,0.01335149863760218,0.012568306010928962,0.012322015334063527,0.013245033112582781,0.012071330589849109,0.011406844106463879,0.012051492741714598
Basiglio,0.008532423208191127,0.009667593696199179,0.010354440461967344,0.010387902695595003,0.01015228426395939,0.012212366628101299,0.012917933130699088
Bellinzago Lombardo,0.009307135470527405,0.011870967741935483,0.01320901320901321,0.013616129876931133,0.014526588845654994,0.014632871701071335,0.01328125
Bernate Ticino,0.01530944625407166,0.01626545217957059,0.01799738219895288,0.018694653984913087,0.017973856209150325,0.01839080459770115,0.01951703605689712
Besate,0.01803998049731838,0.019654841802492808,0.021613832853025938,0.020934761441090556,0.019398642095053348,0.021526418786692758,0.019980506822612085
Binasco,0.016986911723753828,0.019206680584551147,0.020648558758314856,0.02097130242825607,0.02236333517393705,0.02321083172147002,0.02288488210818308
Boffalora sopra Ticino,0.01559074299634592,0.016203143893591294,0.015533980582524271,0.01583820662768031,0.017140058765915768,0.015842066780404583,0.014074253821887891
Bollate,0.017067145744441948,0.017502033489467928,0.019667385628334658,0.019551173070384224,0.020274670819764973,0.019785220745345063,0.020357786714741366
Bresso,0.01818809715667089,0.019247694485899056,0.019055984113648516,0.01978273299028016,0.021154358330479777,0.021591774562071592,0.02130164034021871
Bubbiano,0.014429383471797114,0.01678556441460344,0.017126148705096073,0.014184397163120567,0.014243820695433599,0.01761744966442953,0.015241320914479255
Buccinasco,0.012313071944051781,0.013032823407099362,0.013363525000928023,0.014792899408284023,0.01520926618066092,0.01657111152210098,0.016938449537535753
Buscate,0.013221406086044071,0.016051698978528248,0.015993265993265993,0.016424510423247,0.016320474777448073,0.018703506907545166,0.018091751023045444
Bussero,0.01438681981668407,0.015037593984962405,0.016511627906976745,0.016265830138259555,0.017762616162804376,0.01767497034400949,0.015933412604042806
Busto Garolfo,0.014108310676758027,0.01471874089186826,0.015373459028281364,0.016076706798356283,0.017321016166281754,0.016978542012860344,0.01817526144969347
Calvignasco,0.02003338898163606,0.021775544388609715,0.020168067226890758,0.016778523489932886,0.01582014987510408,0.017781541066892465,0.018121911037891267
Cambiago,0.01218961625282167,0.013002540726348827,0.01258513473497187,0.011811604901816035,0.013042203985932005,0.013226744186046512,0.013560300057703404
Canegrate,0.014367816091954023,0.016536187889439207,0.01688374336710082,0.01764705882352941,0.019932486738466485,0.019932486738466485,0.01951724687325739
Carpiano,0.013446215139442231,0.014578700271806275,0.01491442542787286,0.017161068889433684,0.01687041564792176,0.016270033997085966,0.01760308656860381
