IdSensore,w1 y2013,w2 y2013,w3 y2013,w4 y2013,w5 y2013,w6 y2013,w7 y2013,w8 y2013,w9 y2013,w10 y2013,w11 y2013,w12 y2013,w13 y2013,w14 y2013,w15 y2013,w16 y2013,w17 y2013,w18 y2013,w19 y2013,w20 y2013,w21 y2013,w22 y2013,w23 y2013,w24 y2013,w25 y2013,w26 y2013,w27 y2013,w28 y2013,w29 y2013,w30 y2013,w31 y2013,w32 y2013,w33 y2013,w34 y2013,w35 y2013,w36 y2013,w37 y2013,w38 y2013,w39 y2013,w40 y2013,w41 y2013,w42 y2013,w43 y2013,w44 y2013,w45 y2013,w46 y2013,w47 y2013,w48 y2013,w49 y2013,w50 y2013,w51 y2013,w52 y2013,w53 y2013,w1 y2014,w2 y2014,w3 y2014,w4 y2014,w5 y2014,w6 y2014,w7 y2014,w8 y2014,w9 y2014,w10 y2014,w11 y2014,w12 y2014,w13 y2014,w14 y2014,w15 y2014,w16 y2014,w17 y2014,w18 y2014,w19 y2014,w20 y2014,w21 y2014,w22 y2014,w23 y2014,w24 y2014,w25 y2014,w26 y2014,w27 y2014,w28 y2014,w29 y2014,w30 y2014,w31 y2014,w32 y2014,w33 y2014,w34 y2014,w35 y2014,w36 y2014,w37 y2014,w38 y2014,w39 y2014,w40 y2014,w41 y2014,w42 y2014,w43 y2014,w44 y2014,w45 y2014,w46 y2014,w47 y2014,w48 y2014,w49 y2014,w50 y2014,w51 y2014,w52 y2014,w53 y2014,w1 y2015,w2 y2015,w3 y2015,w4 y2015,w5 y2015,w6 y2015,w7 y2015,w8 y2015,w9 y2015,w10 y2015,w11 y2015,w12 y2015,w13 y2015,w14 y2015,w15 y2015,w16 y2015,w17 y2015,w18 y2015,w19 y2015,w20 y2015,w21 y2015,w22 y2015,w23 y2015,w24 y2015,w25 y2015,w26 y2015,w27 y2015,w28 y2015,w29 y2015,w30 y2015,w31 y2015,w32 y2015,w33 y2015,w34 y2015,w35 y2015,w36 y2015,w37 y2015,w38 y2015,w39 y2015,w40 y2015,w41 y2015,w42 y2015,w43 y2015,w44 y2015,w45 y2015,w46 y2015,w47 y2015,w48 y2015,w49 y2015,w50 y2015,w51 y2015,w52 y2015,w53 y2015,w1 y2016,w2 y2016,w3 y2016,w4 y2016,w5 y2016,w6 y2016,w7 y2016,w8 y2016,w9 y2016,w10 y2016,w11 y2016,w12 y2016,w13 y2016,w14 y2016,w15 y2016,w16 y2016,w17 y2016,w18 y2016,w19 y2016,w20 y2016,w21 y2016,w22 y2016,w23 y2016,w24 y2016,w25 y2016,w26 y2016,w27 y2016,w28 y2016,w29 y2016,w30 y2016,w31 y2016,w32 y2016,w33 y2016,w34 y2016,w35 y2016,w36 y2016,w37 y2016,w38 y2016,w39 y2016,w40 y2016,w41 y2016,w42 y2016,w43 y2016,w44 y2016,w45 y2016,w46 y2016,w47 y2016,w48 y2016,w49 y2016,w50 y2016,w51 y2016,w52 y2016,w53 y2016
6270,115.07,85.4,120.95,132.33,103.44,96.61,173.59,84.13,114.89,89.54,80.63,71.84,52.21,55.24,55.83,55.56,51.52,52.4,43.38,42.33,44.21,39.95,37.07,43.23,40.13,47.63,44.84,37.16,44.37,39.44,45.49,40.57,31.36,32.32,44.38,50.34,50.46,73.24,54.05,60.68,73.35,102.2,87.25,72.2,80.59,98.5,84.94,148.67,204.8,228.82,202.14,92.99,140.97,105.01,115.37,131.38,160.93,128.005,95.08,139.94,110.72,91.35,120.07,132.11,114.73,225.43,233.34,90.9,74.79,90.3,73.31666666666666,56.333333333333336,39.35,58.95,38.81,49.52,51.4,35.98,48.04,46.31,34.39,38.42,34.85,41.12,30.59,30.19,36.61,47.11,60.35,47.85,61.69,88.93,70.02,66.22,100.51,84.7,135.97,86.59,104.46,227.39,93.56,89.15,219.63,231.67,101.68,96.65,129.44,154.82,151.11,155.13,152.03,134.755,117.48,114.95,111.04,105.25,87.14,90.42,55.97,61.46,70.31,68.62,50.79,54.79,54.07,44.31,41.06,39.12,41.65,36.05,31.13,34.89,34.08,30.92,32.8,30.46,35.01,35.79,28.77,33.66,51.2,42.2,50.71,49.0,65.18,69.69,56.47,66.44,103.18,110.75,179.1,100.07,99.04,188.42,100.12,161.68,193.96,94.21,60.93,75.1,122.05,137.76,190.47,109.34,94.05,75.87,75.32,76.21,75.6,70.48,65.12,61.43,59.84,56.99,47.33,37.76,44.23,44.46,37.39,33.09,35.59,34.67,29.23,32.56,33.34,32.29,30.8,34.39,34.54,30.82,25.91,23.4,30.57,39.02,34.07,41.01,35.3,57.33,45.67,58.59,61.02,80.04,70.58,80.84,96.11,84.54,78.03,122.81,96.03,104.88,92.11,75.95
6276,218.54,149.66,219.88,207.31,171.0,163.75,273.41,121.25,197.5,144.34,107.12,95.38,67.53,67.29,76.01,61.62,60.93,59.13,59.17,56.46,53.75,48.36,49.9,58.34,50.22,53.9,45.22,44.56,48.58,52.29,41.12,34.07,37.86,30.43,34.49,37.27,35.4,36.49,30.53,93.43,104.63,147.29,111.33,69.76,109.16,111.05,61.26,216.42,351.38,427.7,352.7,147.4,289.15,188.41,177.03,212.67,221.75,145.23,121.27,174.08,142.36,109.84,130.13,150.52,66.42,105.62,79.43,39.71,64.42,62.87,48.26,52.22,53.12,48.08,44.25,99.11,73.36,1150.18,53.83,60.44,53.37,73.08,45.63,67.63,48.46,43.02,43.4975,43.975,44.4525,44.93,71.58,126.2,73.87,76.93,153.44,90.59,189.84,106.01,131.79,301.06,91.26,104.13,280.77,234.16,132.83,93.97,170.53,199.84,186.54,225.09,179.95,163.56,173.4,160.88,130.07,164.39,95.46,81.69,60.72,53.78,63.12,62.27,30.66,39.12,50.92,62.72,61.23,58.68,74.92,56.63,54.92,62.485,70.05,56.84,69.54,50.58,40.63,50.9,53.05,44.93,72.71,52.76,57.54,58.43,56.59,67.46,54.28,65.89,116.74,123.19,210.07,147.87,183.87,183.85000000000002,183.83,285.41,348.31,173.33,73.17,123.81,187.02,205.71,317.87,163.61,176.48,132.84,134.58,102.06,122.96,94.68,100.64,80.22,67.15,62.34,46.04,42.18,58.56,48.13,41.94,43.32,20.54,35.5,40.58,60.81,47.8,46.69,42.37,53.95,64.19,45.39,33.51,31.35,33.52,58.4,68.42,52.85,63.08,100.81,77.88,115.94,122.93,124.09,111.81,137.37,127.73,117.9,184.79,137.36,120.34,186.35,174.75,173.38
6284,141.1,87.09,125.35000000000001,163.61,124.98,119.18,223.75,124.49,152.37,111.6,106.2,97.14,85.08,87.09,148.21,117.12,130.52,123.94,117.02,119.07,103.55,117.75,198.41,133.62,69.55,86.36,71.47,70.16,56.67,43.53,59.76,51.62,51.76,55.43,62.09,62.33,56.11,85.96,54.65,62.32,69.32,97.52,94.08,89.18,99.65,123.65,92.17,166.0,176.33,210.03,170.72,89.23,147.11,97.28,127.97,125.0,160.95,115.4,121.84,146.67,105.16,100.39,120.42,107.69,61.49,81.87,77.73,67.4,98.34,113.99,97.23,136.7,30.75,32.64,27.39,45.06,34.0,19.89,30.31,30.41,25.2,31.78,27.05,23.75,21.96,14.98,27.48,30.93,34.13,35.85,39.58,49.64,52.76,40.17,63.59,61.88,98.41,58.5,56.62,156.17,73.8,70.22,160.12,153.55,93.52,74.02,107.45,146.91,145.26,136.66,141.97,151.9,136.86,105.94,97.48,99.74,80.06,71.59,54.21,41.02,48.5,49.64,33.73,42.47,44.81,31.11,33.63,26.09,36.03,36.06,36.09,43.03,38.8,27.98,25.25,16.88,26.43,25.76,19.66,26.61,33.92,37.93,50.73,59.1,66.72,76.61,94.82,97.83,159.45,164.03,241.27,135.26,128.48,223.26,116.62,151.82,216.26,130.18,126.99,134.13,229.02,237.41,299.08,169.52,157.31,97.51,123.34,109.59,101.36,94.56,81.89,52.67,52.52,41.94,51.63,35.04,47.59,53.77,43.2,39.44,43.52,32.19,31.59,33.62,27.33,26.54,22.05,28.58,36.86,45.14,50.21,31.7,39.62,56.64,64.01,70.79,71.38,118.01,89.83,123.99,106.12,101.39,106.44,137.45,149.39,148.98,120.64,218.04,171.08,207.61,237.89,245.88
6288,96.85,69.41,73.45,99.12,122.45,52.13,100.45,58.09,69.86,56.4,35.32,37.12,38.1,33.61,34.23,25.39,23.63,20.13,17.83,20.42,16.2,16.54,18.61,19.38,16.64,17.42,18.64,20.63,21.3,22.38,22.08,18.68,13.73,17.24,25.95,26.35,25.9,30.1,25.38,34.36,32.05,51.83,51.69,42.04,174.56,82.87,47.08,83.89,135.7,191.66,145.76,43.6,38.92,62.87,96.5,81.8,62.85,66.85,54.77,64.83,37.04,43.06,30.71,30.94,20.04,19.56,26.09,11.8,13.97,11.62,14.27,11.5,8.01,11.44,11.1,14.53,12.31,12.24,16.14,14.11,13.98,16.3,16.46,25.17,16.79,13.58,11.94,8.18,20.4,20.87,23.37,28.55,32.07,38.6,37.96,34.15,45.55,43.34,43.08,96.54,55.39,63.47,130.3,140.89,55.61,39.16,50.44,74.63,62.18,58.89,69.69,67.03,64.37,46.07,39.42,32.44,25.31,27.35,20.74,17.51,20.88,18.58,13.59,12.98,13.27,9.22,8.98,8.24,9.55,17.87,14.94,17.89,15.63,17.49,15.41,16.64,22.15,18.46,16.26,19.39,21.29,21.36,23.53,24.2,25.69,31.5,36.49,41.68,71.22,54.96,60.08,98.93,77.39,108.12,133.18,137.06,132.26,92.16,55.02,69.75,82.45,77.07,83.7,97.25,77.89,62.995000000000005,48.1,41.89,36.55,24.5,26.3,6.77,27.61,14.09,18.9,14.67,14.01,19.63,16.22,13.66,18.18,16.85,34.64,19.51,16.16,16.85,15.19,16.36,16.55,18.76,12.9,12.7,12.56,18.31,18.12,23.53,25.08,31.97,29.17,39.57,52.84,51.23,57.95,72.42,86.12,111.51,61.21,120.94,189.29,152.57,106.95,88.53
6290,306.47,170.45,223.01,241.45,225.13,122.01,189.04,129.45,191.27,138.63,86.7,122.14,88.37,94.82,105.54,80.84,69.3,65.75,55.19,57.26,51.6,50.61,46.24,46.71,35.64,48.09,47.48,45.29,50.46,42.61,51.52,34.36,19.81,22.59,29.03,30.2,23.7,22.56,55.105000000000004,87.65,93.17,90.42,55.8,74.61749999999999,93.435,112.2525,131.07,312.03,378.21,590.6,379.42,119.79,231.16,166.23,211.41,223.29,215.04,158.32,139.27,171.98,133.59,109.58,133.76,129.2,85.81,118.38,115.21,70.3,80.7,63.62,65.14,78.38,49.04,58.86,62.3,65.82,50.54,48.7,55.08,48.33,49.88,55.0,52.07,49.11,19.89,15.23,19.29,23.22,46.39333333333333,69.56666666666666,92.74,130.2,126.49,140.54,151.55,131.58,194.07,126.6,168.77,389.92,162.93,169.3,359.88,427.47,141.31,150.89,239.96,296.99,226.42,304.63,230.13,253.64,216.17,156.35,179.85,135.22,103.75,93.84,72.02,57.45,101.31,78.65,50.64,49.22,61.4,38.1,46.19,42.28,51.46,40.84,29.11,36.22,29.99,22.24,24.68,32.1,37.400000000000006,42.7,32.84,44.24,59.95,58.33,65.02,72.31,85.42,86.37,91.94,119.16,218.84,216.05,258.64,208.03,164.44,297.45,234.96,329.58,390.96,229.93,156.26,138.81,204.48,242.11,334.61,208.73,171.14,123.1,151.07,112.97,115.13,90.12,96.02,72.22,75.67,54.21,55.04,38.48,54.78,56.37,49.72,47.49,47.39,41.37,43.46,46.82,38.11,40.12,34.64,38.44,42.29,36.42,27.77,20.76,27.01,44.08,55.73,65.13,61.51,94.12,72.75,112.33,124.73,122.55,149.06,179.72,182.74,161.68,197.7,328.94,345.37,307.64,275.88,275.58
6292,91.17,35.04,63.84,93.66,103.45,51.15,77.59,32.03,70.32,50.22,67.57,48.864999999999995,30.16,28.96,27.77,21.43,18.52,15.48,11.23,14.13,9.4,9.85,12.48,12.23,10.07,12.31,12.2,13.6,13.28,13.07,14.09,12.67,7.01,10.2,15.16,16.32,20.59,26.42,24.43,32.35,26.47,50.86,75.42,43.37,48.66,63.98,38.53,103.99,163.08,215.25,147.61,38.96,52.46,53.57,92.6,78.4,85.64,61.71,54.54,75.5,39.15,37.59,34.92,52.73,37.239999999999995,21.75,33.25,17.74,23.32,16.18,19.11,19.11,9.83,13.41,13.6,15.15,13.66,11.95,15.55,12.52,13.15,14.78,12.61,16.67,10.21,7.92,11.06,9.47,17.23,16.52,16.01,31.77,33.14,28.9,33.71,44.72,57.23,42.43,51.85,125.29,58.35,78.39,155.96,172.47,64.5,51.99,70.11,87.54,79.57,74.31,79.06,75.43,68.49,43.69,41.07,40.63,53.02,34.19,19.08,16.34,23.13,20.0,14.88,13.16,14.02,10.04,10.67,9.17,12.32,11.18,10.33,11.91,11.77,11.42,10.61,9.9,9.86,9.91,7.33,8.63,12.42,14.76,16.95,22.41,22.24,22.09,25.73,35.37,62.31,47.31,65.89,94.97,71.11,100.46,110.06,115.44,115.09,88.16,63.05,66.52,91.28,122.37,154.17,115.89,98.1,64.3,80.78,64.39,58.34,38.92,42.53,24.16,30.31,11.7,18.1,12.48,13.49,19.95,15.35,12.08,16.25,14.92,12.89,12.35,12.1,13.36,10.56,10.93,14.31,11.65,8.05,8.41,8.08,13.1,12.31,17.33,19.13,22.79,22.16,38.66,44.09,45.32,52.33,64.57,85.86,94.13,55.08,110.45,157.13,110.71,97.25,89.38
6296,159.08,112.22,137.68,153.15,149.65,110.75,157.47,83.9,80.31,60.63,36.25,37.23,41.446666666666665,45.663333333333334,49.88,27.48,39.67,49.15,52.385,55.620000000000005,58.855000000000004,62.09,59.12,57.68,52.37,57.28,53.77,36.42,39.98,42.4,40.01,37.77,28.38,29.98,37.19,42.98,46.21,61.1,53.89,54.72,63.51,96.64,78.99,70.5,95.08,128.39,100.67,211.56,255.83,418.62,283.03,80.56,131.13,138.77,161.35,179.0,134.22,115.11,91.58,131.4,91.94,75.55,87.7,89.06,52.77,45.68000000000001,38.59,39.78,44.65,44.56,38.47,41.66,39.58,35.74,37.71,38.76,35.02,37.59,32.51,37.15,33.05,36.56,31.8,36.21,28.05,25.21,30.33,35.6,46.74,37.35,46.39,66.09,60.8,61.93,88.41,75.64,115.04,90.2,63.38,101.88,46.18,48.52,108.82,103.61,61.12,42.69,69.1,92.51,58.79,164.22,269.65,375.08,192.16,114.75,104.28,97.66,78.0,64.52,49.57,47.91,57.46,52.87,41.37,38.97,41.42,34.38,35.12,33.12,38.04,35.86,34.75,33.2,35.99,32.48,32.05,29.93,29.66,34.37,27.85,27.99,34.41,35.59,40.05,38.73,44.67,50.06,46.41,60.9,96.87,104.45,160.03,111.13,89.56,184.25,143.41,196.59,205.22,128.3,49.61,83.08,114.09,114.36,178.3,103.76,83.19,75.12,75.08,55.93,63.44,51.22,48.48,46.09,43.23,70.05,64.99,59.93,54.87,49.81,44.75,39.69,34.63,29.57,26.0,33.13,24.98,23.95,21.98,27.35,26.89,23.38,21.79,18.63,20.72,28.92,30.88,33.15,39.75,46.48,52.58,74.72,124.94,123.95,109.0,114.39,149.62,116.25,108.06,181.08,180.91,190.85,170.41,138.1
6298,393.47,246.13,326.99,338.59,293.38,217.53,345.41,197.01,254.22,211.9,152.72,185.15,134.96,137.41,127.83,112.35,91.22,96.77,93.42,90.11,81.51,82.87,70.44,76.49,65.84,71.49,71.43,78.21,76.94,74.35,88.18,63.94,46.73,55.15,82.22,98.24,87.42,125.34,106.92,125.9,186.25,219.1,188.07,158.16,180.45,226.22,185.39,509.18,430.17,613.11,379.85,135.02,226.11,183.93,207.72,229.03,205.69,154.15,123.08,227.16,165.09,134.6,159.46,150.33,74.55,107.51,89.9,68.12,101.47,62.08,61.83,68.53,43.71,56.55,54.25,64.81,62.08,54.24,57.75,53.32,53.09,56.36,55.99,53.13,41.07,30.48,43.44,59.12,70.09,67.38,75.63,89.68,92.69,112.73,143.8,157.23,256.61,149.58,182.47,385.45,193.83,177.26,368.04,566.22,205.66,146.84,239.75,294.99,225.42,319.8,230.7,315.87,259.74,228.42,224.46,193.82,167.37,157.44,117.38,102.02,137.43,111.45,70.35,66.02,103.99,64.2,75.59,64.94,87.66,78.6,72.73,102.31,98.33,94.35,74.11,63.98,68.53,60.4,40.37,60.379999999999995,80.39,80.54,91.91,99.91,113.93,95.66,104.93,122.05,221.49,240.94,282.35,323.76,365.16999999999996,406.58,310.64,413.86,446.21,287.05,111.06,160.89,218.81,253.69,336.05,214.02,195.3,140.66,160.6,137.92,136.92,105.9,110.01,90.73,108.67,86.64,97.18,71.24,91.38,98.56,91.15,96.67,88.75,81.04,75.29,86.95,72.72,71.97,67.77,76.82,63.87,58.54,46.99,32.11,43.53,58.24,70.48,108.46,88.35,119.09,102.37,119.68,141.99,111.51,125.89,147.33,199.04,184.94,193.44,297.69,339.71,301.39,258.49,273.38
6300,286.01,118.29,178.26,189.63,168.97,108.18,223.55,94.33,165.72,116.49,70.0,90.41,52.67,55.65,68.34,52.83,48.96,47.24,36.57,32.01,35.73,32.15,28.26,31.88,24.4,30.58,32.1,32.18,35.92,29.62,25.720000000000002,21.82,17.92,25.33,45.5,52.64,52.2,83.19,56.79,57.38,93.73,151.16,109.2,81.44,105.24,154.29,117.42,299.32,364.71,586.97,363.59,111.97,211.23,159.85,226.88,482.48,227.43,161.31,131.37,185.57,139.75,119.41,135.82,131.61,46.26,72.22,63.87,36.28,45.16,43.81,34.13,35.76,21.37,23.41,29.31,39.98,33.66,28.97,29.38,30.22,30.36,34.74,29.99,30.94,19.32,18.41,26.08,36.3,53.2,38.18,45.37,72.78,63.74,63.33,104.76,98.68,169.01,84.39,111.68,291.84,101.68,110.07,261.74,308.6,102.32,83.66,176.7,212.06,145.47,228.91,168.56,181.32,147.99,124.41,126.05,118.95,99.34,84.19,61.06,53.24,85.22,63.75,34.32,35.36,50.07,28.82,34.56,29.75,37.17,36.8,28.63,30.16,29.02,28.39,28.89,22.26,29.66,30.77,23.9,26.65,47.27,47.63,46.98,53.0,56.647999999999996,60.296,63.943999999999996,67.592,71.24,232.33,314.63,222.39,163.09,311.38,243.58,327.65,401.46,232.36,75.08,132.41,184.28,226.83,337.81,194.76,151.92,104.01,179.32,138.88,98.44,71.64,77.61,54.29,50.16,39.52,34.84,28.91,34.78,33.56,32.95,34.59,33.09,33.98,27.82,34.84,24.83,39.14,37.98,44.54,44.45,38.16,37.4,29.07,32.89,46.01,53.54,71.18,81.16,100.42,56.27,110.9,140.18,122.05,153.12,182.63,185.91,154.19,182.52,329.41,354.83,317.0,293.92,328.17
6302,388.3,167.37,216.09,270.64,214.72,159.79,322.87,180.26,174.51,149.45,115.17,131.36,114.34,110.6,106.86,86.03,81.31,72.6,72.12,74.8,56.63,57.46,58.71,58.02,50.7,55.15,59.63,55.01,60.07,55.42,68.74,54.85,35.24,47.05,61.55,74.04,69.9,87.8,68.79,101.48,116.6,154.14,158.45,126.39,132.15,183.81,164.71,304.67,324.39,402.57,332.0,156.42,413.94,192.94,181.97,229.03,230.91,177.42,156.76,200.19,178.75,128.53,182.17,171.46,79.05,116.92,114.77,74.48,83.63,68.25,73.33,67.69,49.31,64.32,57.42,66.13,58.92,52.78,66.21,56.57,59.42,60.99,58.13,55.93,47.5,39.16,53.2,60.88,72.7,76.28,80.78,104.36,110.74,111.04,114.68,119.39,181.13,127.24,137.14,319.72,152.88,143.72,266.09,280.91,131.38,122.08,170.21,203.03,201.85,245.78,211.97,219.89,213.08,191.24,152.31,136.33,120.75,120.91,80.08,71.11,94.28,84.68,63.13,59.31,67.04,49.11,52.5,46.81,59.37,57.93,55.34,59.96,62.67,58.525000000000006,54.38,50.235,46.09,25.52,17.743333333333332,9.966666666666667,2.19,30.53666666666667,58.88333333333333,87.23,92.36,84.32,72.41,115.08,194.19,197.34,254.58,185.85,192.14,345.6,182.12,254.23,326.3,169.08,138.08,151.78,205.25,248.9,312.67,181.22,159.82,115.87,136.5,119.6,111.1,85.25,107.73,80.74,81.98,59.31,65.13,50.28,58.08,71.11,60.99,61.03,64.09,57.05,55.4,57.73,50.49,51.16,46.26,49.37,51.91,46.03,41.48,29.26,39.61,50.01,57.5,72.37,64.76,121.47,99.96,117.07,142.36,125.96,135.82,153.24,239.91,195.86,161.49,317.31,284.25,310.22,259.75,239.69
